Unnamed: 0,Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,raw-id,day,Level,priority
20,207.0_0_B1,,D,ELLERSLIE,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,53.4249867,-113.4648967,0.0515277778,2d 06:00:00,2d 14:45:00,1,roadway,207.0_0,2.0,B1,1
21,217.0_0_B1,,D,GREENVIEW,55 ST - 39 AVE,53.47495511,-113.422836,0.0151388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,217.0_0,,B1,10
22,218.0_0_B1,,D,GREENVIEW,257 GREENOCH CRESENT,53.47853544,-113.424299,0.0016666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,218.0_0,,B1,10
23,231.0_0_B1,,D,DALY GROVE,36 ST-17-17B AVE,53.44562432,-113.397116,0.0011111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,231.0_0,,B1,10
24,232.0_0_B1,,D,GREENVIEW,51 ST -39 A AVE,53.47406098,-113.4179049,0.0098611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,232.0_0,,B1,10
25,236.0_0_B1,,D,DALY GROVE,36 ST-20 AVE,53.45106651,-113.3981109,0.0013888889,0d 06:00:00,9d 14:45:00,1,neighbourhood,236.0_0,,B1,10
26,237.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 12A AVE,53.44011451,-113.4001857,0.0016666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,237.0_0,,B1,10
27,255.0_0_B1,,D,BISSET,35 ST-33 AVE,53.46321738,-113.3948895,0.0009722222,0d 06:00:00,9d 14:45:00,1,neighbourhood,255.0_0,,B1,10
28,256.0_0_B1,,D,BISSET,NORTH OF 28A AVE BTWN 34-37 ST,53.45953514,-113.3959923,0.0438888889,0d 06:00:00,9d 14:45:00,1,neighbourhood,256.0_0,,B1,10
29,265.0_0_B1,,D,MICHAELS PARK,EAST OF 76 ST BTWN 41 AVE & PARK AREA,53.47890847,-113.4505464,0.0026388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,265.0_0,,B1,10
30,266.0_0_B1,,D,MICHAELS PARK,BTWN-WHITEMUD DRIVE-PIPELINE,53.4813995,-113.4445099,0.0497222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,266.0_0,,B1,10
31,267.0_0_B1,,D,MICHAELS PARK,NEXT TO 6762-39 AVE,53.47586961,-113.4445511,0.0043055556,0d 06:00:00,9d 14:45:00,1,neighbourhood,267.0_0,,B1,10
32,270.0_0_B1,,D,KENILWORTH,89 Ave & 71 St,53.52290707,-113.4354382,0.1105555556,3d 06:00:00,3d 14:45:00,1,neighbourhood,270.0_0,3.0,B1,1
33,276.0_0_B1,,D,KINISKI GARDENS,403 KIRKPATRICK CRESENT,53.47925609,-113.4022577,0.0023611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,276.0_0,,B1,10
34,278.0_0_B1,,D,KINISKI GARDENS,43 AVE & 38 ST - KIRKPATRICK CRESENT,53.4801263,-113.3999983,0.0038888889,0d 06:00:00,9d 14:45:00,1,neighbourhood,278.0_0,,B1,10
35,279.0_0_B1,,D,KENILWORTH,84 AVE-73 ST,53.52016614,-113.4404997,0.0180555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,279.0_0,,B1,10
36,280.0_0_B1,,D,KENILWORTH,75 ST-84 AVE,53.52033983,-113.4427154,0.0020833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,280.0_0,,B1,10
37,291.0_0_B1,,D,EKOTA,21 AVE & 73 ST,53.45275672,-113.4456286,0.0048611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,291.0_0,,B1,10
38,307.0_0_B1,,D,GREENVIEW,40 - 43 AVE & GREENOCH CRESENT,53.47807414,-113.4236698,0.0676388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,307.0_0,,B1,10
39,308.0_0_B1,,D,GREENVIEW,40 - 43 AVE & GRANLEA CRESENT (P.P.),53.47925098,-113.4295846,0.065,0d 06:00:00,9d 14:45:00,1,neighbourhood,308.0_0,,B1,10
40,309.0_0_B1,,D,FOREST HEIGHTS,82 ST-103 AVE,53.54472687,-113.4532601,0.0402777778,0d 06:00:00,0d 14:45:00,1,neighbourhood,309.0_0,0.0,B1,10
41,310.0_0_B1,,D,GREENVIEW,153 GRANLEA CRESENT,53.47935367,-113.4311516,0.0030555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,310.0_0,,B1,10
42,381.0_0_B1,,D,EKOTA,68 ST - 22 AVE,53.45182828,-113.4381028,0.0048611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,381.0_0,,B1,10
43,382_0_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.4707322,0.0577314815,3d 06:00:00,3d 14:45:00,1,neighbourhood,382_0,,B1,1
44,382_1_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.4707322,0.0577314815,3d 06:00:00,3d 14:45:00,1,neighbourhood,382_0,,B1,1
45,382_2_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.4707322,0.0577314815,3d 06:00:00,3d 14:45:00,1,neighbourhood,382_0,,B1,1
46,383.0_0_B1,,D,HILLVIEW,HILLVIEW CRESENT (52 ST & 34 B AVE),53.46695088,-113.4212724,0.015,0d 06:00:00,9d 14:45:00,1,neighbourhood,383.0_0,,B1,10
47,385.0_0_B1,,D,BONNIE DOON,95 AVE-94-95 ST,53.53191903,-113.4726713,0.0195833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,385.0_0,,B1,10
48,386.0_0_B1,,D,BONNIE DOON,90 AVE-88 ST,53.52545463,-113.4619454,0.0236111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,386.0_0,,B1,10
49,402.0_0_B1,,D,KAMEYOSEK,EAST SIDE MILLWOODS RD & 34-28 AVE,53.46369927,-113.4501914,0.0211111111,0d 06:00:00,9d 14:45:00,1,roadway,402.0_0,,B1,10
50,403.0_0_B1,,D,MICHAELS PARK,MILLBOURNE ROAD E-41A AVE,53.47911282,-113.4438854,0.0061111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,403.0_0,,B1,10
51,404.0_0_B1,,D,KINISKI GARDENS,44 ST-KULAWY GATE (39 AVE),53.47431735,-113.4071166,0.0040277778,0d 06:00:00,9d 14:45:00,1,neighbourhood,404.0_0,,B1,10
52,405.0_0_B1,,D,KINISKI GARDENS,1244 KAASA ROAD EAST,53.47069387,-113.3979464,0.0026388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,405.0_0,,B1,10
53,406.0_0_B1,,D,MEYONOHK,CONNECTS 89 ST-BACK LANE-BTWN-24-25A A,53.45386309,-113.4620099,0.0080555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,406.0_0,,B1,10
54,407.0_0_B1,,D,MEYONOHK,83 ST-BACK LANE-BTWN-26-27 AVE,53.45671841,-113.4595737,0.0026388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,407.0_0,,B1,10
55,408.0_0_B1,,D,MEYONOHK,89 ST - LAKEWOOD RD. WEST & 26-27 AVE,53.45687343,-113.4632328,0.0094444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,408.0_0,,B1,10
56,410.0_0_B1,,D,LARKSPUR,30 ST - W/SIDE 42 AVE TO 40 AVE,53.47811545,-113.3875818,0.0013888889,0d 06:00:00,9d 14:45:00,1,neighbourhood,410.0_0,,B1,10
57,440.0_0_B1,,D,OTTEWELL,57 ST-96 AVE,53.53588945,-113.4230023,0.0054166667,0d 06:00:00,9d 14:45:00,1,neighbourhood,440.0_0,,B1,10
58,468.0_0_B1,,D,CRAWFORD PLAINS,42 ST-12-10 AVE,53.43896847,-113.4071036,0.0909722222,8d 06:00:00,8d 14:45:00,1,neighbourhood,468.0_0,8.0,B1,1
59,469.0_0_B1,,D,LEE RIDGE,LEE RIDGE RD-E 71 ST,53.46767804,-113.4416367,0.0611111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,469.0_0,,B1,10
60,470.0_0_B1,,D,BISSET,43 ST-25 AVE,53.45581327,-113.408386,0.0022222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,470.0_0,,B1,10
61,476.0_0_B1,,D,STRATHCONA,104 ST-SASKATCHEWAN DRIVE-83 AVE,53.5213299,-113.49756,0.0159722222,0d 06:00:00,9d 14:45:00,1,neighbourhood,476.0_0,,B1,10
62,484.0_0_B1,,D,MEYONOHK,W. OF 78 ST & S. OF LAKEWOOD RD. SOUTH,53.45472483,-113.4505677,0.0011111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,484.0_0,,B1,10
63,511_0_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,0d 06:00:00,0d 14:45:00,1,neighbourhood,511_0,0.0,B1,10
65,511_0_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,3d 06:00:00,3d 14:45:00,1,neighbourhood,511_0,3.0,B1,1
66,511_1_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,0d 06:00:00,0d 14:45:00,1,neighbourhood,511_0,0.0,B1,10
68,511_1_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,3d 06:00:00,3d 14:45:00,1,neighbourhood,511_0,3.0,B1,1
69,511_2_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,0d 06:00:00,0d 14:45:00,1,neighbourhood,511_0,0.0,B1,10
71,511_2_0_B1,,D,CLOVERDALE,85 ST-STRATHEARN DRIVE,53.53669821,-113.4618982,0.0655555556,3d 06:00:00,3d 14:45:00,1,neighbourhood,511_0,3.0,B1,1
72,534.0_0_B1,,D,SUMMERSIDE,SUMMERSIDE DRIVE: ELLERSLIE RD - 11 AVE,53.42428779,-113.4630607,0.0090277778,0d 06:00:00,9d 14:45:00,1,neighbourhood,534.0_0,,B1,10
73,535.0_0_B1,,D,STRATHEARN,91 ST-STRATHEARN DRIVE,53.53453969,-113.4670204,0.0068055556,0d 06:00:00,9d 14:45:00,1,neighbourhood,535.0_0,,B1,10
74,538.0_0_B1,,D,MEYOKUMIN,20A AVE-55 ST,53.4516189,-113.4239362,0.0401388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,538.0_0,,B1,10
75,547.0_0_B1,,D,EKOTA,73 ST - 21 AVE,53.45093514,-113.4441409,0.0059722222,0d 06:00:00,9d 14:45:00,1,neighbourhood,547.0_0,,B1,10
76,548.0_0_B1,,D,EKOTA,70 ST - 21 AVE,53.45122102,-113.4407574,0.0031944444,0d 06:00:00,9d 14:45:00,1,neighbourhood,548.0_0,,B1,10
77,553.0_0_B1,,D,LARKSPUR,33 ST - 41A AVE,53.47821022,-113.3915995,0.0019444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,553.0_0,,B1,10
78,558.0_0_B1,,D,TIPASKAN,3148 - 79 ST,53.46270509,-113.453122,0.0023611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,558.0_0,,B1,10
79,560.0_0_B1,,D,KINISKI GARDENS,264 KIRKWOOD AVE,53.48370558,-113.3994332,0.0019444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,560.0_0,,B1,10
80,561.0_0_B1,,D,KENILWORTH,7242 - 83 AVE/8313 - 75 ST,53.51932181,-113.4397248,0.0043055556,0d 06:00:00,9d 14:45:00,1,neighbourhood,561.0_0,,B1,10
81,568.0_0_B1,,D,GAINER INDUSTRIAL,50 ST BTWN 76 & 82 AVE,53.51698107,-113.4182013,0.0097222222,6d 06:00:00,6d 14:45:00,1,neighbourhood,568.0_0,6.0,B1,1
82,579.0_0_B1,,D,LEE RIDGE,EAST SIDE MILLWOODS RD & 36B AVE-34 AVE,53.46729849,-113.4503892,0.0505555556,0d 06:00:00,9d 14:45:00,1,roadway,579.0_0,,B1,10
83,590.0_0_B1,,D,GOLD BAR,47 ST & 106B AVE,53.55320893,-113.4135622,0.0375,7d 06:00:00,7d 14:45:00,1,neighbourhood,590.0_0,7.0,B1,1
84,596_0_0_B1,,D,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,53.49914123,-113.4180896,0.0833333333,6d 06:00:00,6d 14:45:00,1,roadway,596_0,,B1,1
85,596_1_0_B1,,D,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,53.49914123,-113.4180896,0.0833333333,6d 06:00:00,6d 14:45:00,1,roadway,596_0,,B1,1
86,596_2_0_B1,,D,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,53.49914123,-113.4180896,0.0833333333,6d 06:00:00,6d 14:45:00,1,roadway,596_0,,B1,1
87,597.0_0_B1,,D,TWEDDLE PLACE,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,53.48042908,-113.4525123,0.0586111111,0d 06:00:00,9d 14:45:00,1,roadway,597.0_0,,B1,10
88,598.0_0_B1,,D,ELLERSLIE,Between 132 & 136 Easton Road SW,53.42752392,-113.4687742,0.0625,0d 06:00:00,9d 14:45:00,1,neighbourhood,598.0_0,,B1,10
89,609.0_0_B1,,D,ELLERSLIE,Ellerslie Road & Edwards Drive,53.42520833,-113.4553127,0.0030555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,609.0_0,,B1,10
90,614.0_0_B1,,D,LEE RIDGE,71 ST-LEE RIDGE RD,53.46648414,-113.4425609,0.0098611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,614.0_0,,B1,10
91,615.0_0_B1,,D,LEE RIDGE,BTWN-38 AVE-SCHOOL-ADJ CLINIC,53.47314712,-113.447766,0.0151388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,615.0_0,,B1,10
92,623.0_0_B1,,D,EKOTA,KNOTTWOOD RD. EAST -68 ST & N. OF 19 AVE,53.45082585,-113.4393637,0.0330555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,623.0_0,,B1,10
93,624.0_0_B1,,D,EKOTA,SOUTH 19 AVE-BTWN-68 ST-KW RD EAST,53.44871371,-113.4392548,0.0027777778,0d 06:00:00,9d 14:45:00,1,neighbourhood,624.0_0,,B1,10
94,626.0_0_B1,,D,EKOTA,CONNECTING KW RD N-18 AVE-BTWN-73-75 S,53.4489733,-113.446011,0.0055555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,626.0_0,,B1,10
95,640.0_0_B1,,D,LARKSPUR,44B AVE-28-29 ST,53.48335537,-113.3849588,0.0044444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,640.0_0,,B1,10
96,642.0_0_B1,,D,LARKSPUR,39-41 AVE & 23 ST-TRANSALTA R.O.W.,53.47865242,-113.3791748,0.1122222222,0d 06:00:00,0d 14:45:00,1,neighbourhood,642.0_0,0.0,B1,10
97,643.0_0_B1,,D,KING EDWARD PARK,77 AVE-73 ST,53.51372686,-113.4410012,0.1555555556,3d 06:00:00,3d 14:45:00,1,neighbourhood,643.0_0,3.0,B1,1
98,662.0_0_B1,,D,WILD ROSE,BESIDE 364 WILD ROSE WAY,53.47572009,-113.3709659,0.0016666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,662.0_0,,B1,10
99,666.0_0_B1,,D,WALKER,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,53.424798362,-113.419698009,0.0421064815,0d 06:00:00,9d 14:45:00,1,roadway,666.0_0,,B1,10
100,693.0_0_B1,,D,MICHAELS PARK,74 ST-44 AVE,53.48356597,-113.4516076,0.0095833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,693.0_0,,B1,10
101,694.0_0_B1,,D,IDYLWYLDE,81 ST-86 AVE,53.5228885,-113.4517041,0.0595833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,694.0_0,,B1,10
102,696.0_0_B1,,D,MEYONOHK,24 AVE-W 85 ST,53.45257951,-113.4610376,0.0008333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,696.0_0,,B1,10
103,724.0_0_B1,,D,MCINTYRE INDUSTRIAL,86 ST-BTWN WHITEMUD DRIVE-51 AVE,53.48643348,-113.4537909,0.0123611111,0d 06:00:00,9d 14:45:00,1,roadway,724.0_0,,B1,10
104,773.0_0_B1,,D,GREENVIEW,38A AVE-W 51 ST,53.47087639,-113.4185957,0.0030555556,0d 06:00:00,9d 14:45:00,1,neighbourhood,773.0_0,,B1,10
105,777.0_0_B1,,D,CRAWFORD PLAINS,Road Allowance,53.44096431,-113.3942473,0.0486111111,2d 06:00:00,2d 14:45:00,1,roadway,777.0_0,2.0,B1,1
106,781.0_0_B1,,D,HILLVIEW,53 ST - 35 AVE,53.46754635,-113.4223962,0.0018055556,0d 06:00:00,9d 14:45:00,1,neighbourhood,781.0_0,,B1,10
107,786.0_0_B1,,D,WILD ROSE,35B Ave: 31 St - 29 St,53.4680613,-113.3865062,0.0070833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,786.0_0,,B1,10
108,787.0_0_B1,,D,SUMMERSIDE,1202 Summerside Drive,53.42230666,-113.4668491,0.0472222222,4d 06:00:00,4d 14:45:00,1,neighbourhood,787.0_0,4.0,B1,1
109,789.0_0_B1,,D,TIPASKAN,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,53.45895751,-113.4568045,0.0777777778,9d 06:00:00,9d 14:45:00,1,roadway,789.0_0,9.0,B1,10
110,793.0_0_B1,,D,CRAWFORD PLAINS,39 ST-N 12 AVE,53.44114538,-113.4013158,0.0011111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,793.0_0,,B1,10
111,809.0_0_B1,,D,HOLYROOD,82-83 ST-BTWN-91-92 AVE,53.52644386,-113.4541092,0.0031944444,0d 06:00:00,9d 14:45:00,1,neighbourhood,809.0_0,,B1,10
112,820.0_0_B1,,D,SATOO,78 ST-BTWN-21-22 AVE,53.45229309,-113.4495041,0.0077777778,0d 06:00:00,9d 14:45:00,1,neighbourhood,820.0_0,,B1,10
113,841.0_0_B1,,D,IDYLWYLDE,76 ST-88 AVE,53.52354243,-113.4443855,0.0208333333,0d 06:00:00,9d 14:45:00,1,neighbourhood,841.0_0,,B1,10
114,859.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,39 AVE & 92-91 ST,53.47412343,-113.4682701,0.0044444444,0d 06:00:00,9d 14:45:00,1,roadway,859.0_0,,B1,10
115,862.0_0_B1,,D,TWEDDLE PLACE,WEST SIDE MILLBOURNE RD BTWN ALLEY & 3,53.47579203,-113.4586733,0.0036111111,0d 06:00:00,9d 14:45:00,1,neighbourhood,862.0_0,,B1,10
116,863.0_0_B1,,D,TWEDDLE PLACE,77 ST-BTWN-41-40 AVE,53.47758279,-113.4529992,0.0054166667,0d 06:00:00,9d 14:45:00,1,neighbourhood,863.0_0,,B1,10
117,881.0_0_B1,,D,ARGYLL,86 ST-67 AVE,53.5024862,-113.45885,0.0219444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,881.0_0,,B1,10
118,883.0_0_B1,,D,CLOVERDALE,9812 96A Street NW,53.53870576,-113.4795739,0.1666666667,4d 06:00:00,4d 14:45:00,1,neighbourhood,883.0_0,4.0,B1,1
119,906.0_0_B1,,D,KINISKI GARDENS,NORTH SIDE 38 AVE-BTWN 38-41 ST,53.47279653,-113.3993744,0.0029166667,0d 06:00:00,9d 14:45:00,1,roadway,906.0_0,,B1,10
120,910.0_0_B1,,D,MEYONOHK,WEST SIDE 85 ST BTWN 23 AVE & 24 AVE,53.45234693,-113.4600996,0.0034722222,0d 06:00:00,9d 14:45:00,1,neighbourhood,910.0_0,,B1,10
121,926.0_0_B1,,D,STRATHCONA,89 AVE-100 ST,53.52461864,-113.4895913,0.0297222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,926.0_0,,B1,10
122,947.0_0_B1,,D,ARGYLL,ARGYLL RD N/S BTWN 86 ST & 83 ST,53.50190593,-113.4560504,0.0151388889,7d 06:00:00,7d 14:45:00,1,neighbourhood,947.0_0,7.0,B1,1
123,953.0_0_B1,,D,MENISA,68 ST - 11 AVE,53.4400904,-113.4415886,0.0072222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,953.0_0,,B1,10
124,954.0_0_B1,,D,MENISA,70 ST - 12 AVE,53.44215484,-113.4430531,0.0026388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,954.0_0,,B1,10
125,969.0_0_B1,,D,GREENVIEW,140 GRANLEA CRESENT,53.48040848,-113.4302079,0.0020833333,0d 06:00:00,9d 14:45:00,1,neighbourhood,969.0_0,,B1,10
126,975.0_0_B1,,D,MICHAELS PARK,SOUTH SIDE/WS MILBOURNE RD E & E OF 74,53.48161951,-113.4476131,0.1022222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,975.0_0,,B1,10
127,976.0_0_B1,,D,BISSET,SOUTH SIDE 23 AVE BTWN 38-34 ST,53.45366325,-113.3962258,0.0441666667,2d 06:00:00,2d 14:45:00,1,roadway,976.0_0,2.0,B1,1
128,979_0_0_B1,,D,MEYONOHK,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,53.45526058,-113.448311,0.0587962963,5d 06:00:00,5d 14:45:00,1,roadway,979_0,,B1,1
129,979_1_0_B1,,D,MEYONOHK,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,53.45526058,-113.448311,0.0587962963,5d 06:00:00,5d 14:45:00,1,roadway,979_0,,B1,1
130,979_2_0_B1,,D,MEYONOHK,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,53.45526058,-113.448311,0.0587962963,5d 06:00:00,5d 14:45:00,1,roadway,979_0,,B1,1
131,985.0_0_B1,,D,HAZELDEAN,EAST OF 93 ST-64-66 AVE,53.5018756,-113.4687706,0.0040277778,0d 06:00:00,9d 14:45:00,1,neighbourhood,985.0_0,,B1,10
132,988.0_0_B1,,D,ELLERSLIE,8503 - 2 Ave SW,53.43205583,-113.4640388,0.0025,0d 06:00:00,9d 14:45:00,1,neighbourhood,988.0_0,,B1,10
133,989.0_0_B1,,D,SUMMERSIDE,429 SPARLING CRESC - 554 STEWART CRESC,53.42308569,-113.4689343,0.0048611111,0d 06:00:00,9d 14:45:00,1,neighbourhood,989.0_0,,B1,10
134,993.0_0_B1,,D,KINISKI GARDENS,519 KULAWY POINT (WEST OF KULAWY DR N,53.47394159,-113.4107927,0.0016666667,0d 06:00:00,9d 14:45:00,1,neighbourhood,993.0_0,,B1,10
135,995.0_0_B1,,D,IDYLWYLDE,81 ST-89 AVE,53.52440917,-113.4519433,0.0022222222,0d 06:00:00,9d 14:45:00,1,neighbourhood,995.0_0,,B1,10
136,996.0_0_B1,,D,GREENVIEW,GREENOCH CRESCENT-W 50 ST-GOLF COURS,53.47794898,-113.4207306,0.0341666667,7d 06:00:00,7d 14:45:00,1,neighbourhood,996.0_0,7.0,B1,1
137,1001.0_0_B1,,D,JACKSON HEIGHTS,NORTH SIDE 44 AVE-BTWN 49 ST-JACKSON R,53.48206292,-113.4132991,0.0140277778,0d 06:00:00,9d 14:45:00,1,neighbourhood,1001.0_0,,B1,10
138,1017.0_0_B1,,D,OTTEWELL,97 AVE-66 ST,53.53593095,-113.4310656,0.0301388889,0d 06:00:00,9d 14:45:00,1,neighbourhood,1017.0_0,,B1,10
139,1035.0_0_B1,,D,MEYONOHK,BTWN LAKEWOOD RD S-23 AVE-W 83 ST,53.45299725,-113.4581005,0.0319444444,0d 06:00:00,9d 14:45:00,1,neighbourhood,1035.0_0,,B1,10
