Id,address,cluster,end-time,job-id,latitude,longitude,name,quantity,required-skills,service-duration,start-time,type
947.0_0_B1,ARGYLL RD N/S BTWN 86 ST & 83 ST,,9d 14:45:00,,53.50190593,-113.4560504,ARGYLL,1.0,neighbourhood,0.31,0d 06:00:00,D
976.0_0_B1,SOUTH SIDE 23 AVE BTWN 38-34 ST,,9d 14:45:00,,53.45366325,-113.3962258,BISSET,1.0,roadway,0.635,0d 06:00:00,D
979.0_0_B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,9d 14:45:00,,53.45526058,-113.448311,MEYONOHK,1.0,roadway,0.343,0d 06:00:00,D
996.0_0_B1,GREENOCH CRESCENT-W 50 ST-GOLF COURS,,9d 14:45:00,,53.47794898,-113.42073059999998,GREENVIEW,1.0,neighbourhood,0.3,0d 06:00:00,D
1313.0_0_B1,37-38 AVE & 32-34 ST,,9d 14:45:00,,53.47213596,-113.3919408,LARKSPUR,1.0,neighbourhood,0.8,0d 06:00:00,D
1450.0_0_B1,BTWN-85-91 ST,,9d 14:45:00,,53.46912852,-113.4624634,RICHFIELD,1.0,neighbourhood,1.0835,0d 06:00:00,D
1493.0_0_B1,EAST OF 80 ST & SOUTH OF 10 AVE,,9d 14:45:00,,53.43871656,-113.4530145,MENISA,1.0,neighbourhood,1.12,0d 06:00:00,D
1612.0_0_B1,MILLBOURNE ROAD E-70 ST,,9d 14:45:00,,53.4792581,-113.4489091,MICHAELS PARK,1.0,neighbourhood,3.75,0d 06:00:00,D
1623.0_0_B1,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,,9d 14:45:00,,53.45485526,-113.4033495,BISSET,1.0,roadway,0.9,0d 06:00:00,D
1778.0_0_B1,11 AVE-58 ST,,9d 14:45:00,,53.44264997,-113.4290041,SAKAW,1.0,neighbourhood,2.215,0d 06:00:00,D
1814.0_0_B1,43A AVE - WHITEMUD DRIVE WEST OF 23 ST,,9d 14:45:00,,53.48249405,-113.3806965,LARKSPUR,1.0,neighbourhood,1.55,0d 06:00:00,D
1825.0_0_B1,76 AVE & 89 - 95 ST,,9d 14:45:00,,53.51228056,-113.4682563,MILL CREEK RAVINE SOUTH,1.0,neighbourhood,0.2285,0d 06:00:00,D
1837.0_0_B1,SOUTH SIDE&C 23 AVE-BTWN 91-85 ST,,9d 14:45:00,,53.45169814,-113.4632398,SATOO,1.0,roadway,0.177,0d 06:00:00,D
1854.0_0_B1,80 ST-76 AVE,,9d 14:45:00,,53.51080393,-113.4492502,AVONMORE,1.0,neighbourhood,1.4715,0d 06:00:00,D
1867.0_0_B1,88 ST-69 AVE,,9d 14:45:00,,53.50596204,-113.4637143,ARGYLL,1.0,neighbourhood,7.051,0d 06:00:00,D
1868.0_0_B1,70-75 AVE - 85ST TO RAVINE,,9d 14:45:00,,53.50873972,-113.4609116,MILL CREEK RAVINE SOUTH,1.0,neighbourhood,0.8205,0d 06:00:00,D
1870.0_0_B1,ISLAND NE CORNER 75 ST & ARGYLE RD.,,9d 14:45:00,,53.50977333,-113.4432727,CORONET ADDITION INDUSTRIAL,1.0,neighbourhood,0.2385,0d 06:00:00,D
1889.0_0_B1,WS/C 91 ST BTWN 28 & 34 AVE,,9d 14:45:00,,53.46193542,-113.4670981,TIPASKAN,1.0,roadway,1.285,0d 06:00:00,D
1905.0_0_B1,91 ST BTWN 51 AVE & WHITEMUD DRIVE,,9d 14:45:00,,53.48513048,-113.4663823,MCINTYRE INDUSTRIAL,1.0,roadway,0.913,0d 06:00:00,D
1980.0_0_B1,WEST SIDE 34 ST 18-23 AVE & WEST SIDE 34 ST 16A - 18 AVE,,9d 14:45:00,,53.44893668,-113.3941282,DALY GROVE,1.0,roadway,0.46,0d 06:00:00,D
2016.0_0_B1,EAST OF 42 AVE BTWN 102 & 106B AVE,,9d 14:45:00,,53.54874589,-113.4057399,GOLD BAR,1.0,neighbourhood,0.3985,0d 06:00:00,D
2156.0_0_B1,KNOTTWOOD ROAD S-75 ST,,9d 14:45:00,,53.44317506,-113.448125,MENISA,1.0,neighbourhood,0.4115,0d 06:00:00,D
2165.0_0_B1,BTWN 75 & 34 ST INCLUDING 82 AVE - 71 ST,,9d 14:45:00,,53.51663277,-113.4035534,MORRIS INDUSTRIAL,1.0,roadway,0.47,0d 06:00:00,D
2193.0_0_B1,EAST 98 ST - RAVINE & 92 AVE,,9d 14:45:00,,53.52148967,-113.4750752,MILL CREEK RAVINE SOUTH,1.0,neighbourhood,0.425,0d 06:00:00,D
2194.0_0_B1,NORTH 63-66 AVE - 89-92 ST,,9d 14:45:00,,53.50096985,-113.46779270000002,HAZELDEAN,1.0,neighbourhood,0.7975,0d 06:00:00,D
2217.0_0_B1,95 ST-88 AVE,,9d 14:45:00,,53.5254877,-113.4743503,MILL CREEK RAVINE NORTH,1.0,neighbourhood,1.8035,0d 06:00:00,D
2233.0_0_B1,SOUTH SIDE/C 34 AVE BTWN MILLWOODS RD & 66 ST,,9d 14:45:00,,53.46495912,-113.4432916,LEE RIDGE,1.0,roadway,0.45,0d 06:00:00,D
2250.0_0_B1,54-58 ST & 34 AVE-38 AVE,,9d 14:45:00,,53.46914599,-113.4233464,HILLVIEW,1.0,neighbourhood,0.1685,0d 06:00:00,D
2255.0_0_B1,SOUTH SIDE/C 23 AVE-BTWN 66-50 ST,,9d 14:45:00,,53.45371070000001,-113.42858390000002,MILL WOODS TOWN CENTRE,1.0,roadway,0.53,0d 06:00:00,D
2261.0_0_B1,98 AVE-CONNORS ROAD-99 ST,,9d 14:45:00,,53.53647744,-113.4816691,MILL CREEK RAVINE NORTH,1.0,neighbourhood,2.526,0d 06:00:00,D
2270.0_0_B1,W/S 17 St. South of 38 Ave,,9d 14:45:00,,53.47390517,-113.3689558,WILD ROSE,1.0,roadway,2.785,0d 06:00:00,D
2386.0_0_B1,WEST SIDE 75 ST-BTWN-98-101 AVE,,9d 14:45:00,,53.5388941,-113.4436549,FOREST HEIGHTS,1.0,neighbourhood,0.27,0d 06:00:00,D
2391.0_0_B1,96A ST - CONNORS ROAD,,9d 14:45:00,,53.53403064,-113.479064,CLOVERDALE,1.0,neighbourhood,2.3375,0d 06:00:00,D
2448.0_0_B1,KNOTTWOOD RD E-19 AVE,,9d 14:45:00,,53.44899765,-113.441916,EKOTA,1.0,neighbourhood,1.369,0d 06:00:00,D
2469.0_0_B1,WS/C 91 ST BTWN 34 & 39 AVE,,9d 14:45:00,,53.46979343,-113.467082,STRATHCONA INDUSTRIAL PARK,1.0,roadway,2.55,0d 06:00:00,D
2492.0_0_B1,NORTH OF 28 AVE-BTWN MILLWOODS RD-37 S,,9d 14:45:00,,53.45955007,-113.4022907,BISSET,1.0,neighbourhood,0.2195,0d 06:00:00,D
2503.0_0_B1,East of School: 77 St & 40 Ave,,9d 14:45:00,,53.47648911,-113.4532758,TWEDDLE PLACE,1.0,neighbourhood,1.0415,0d 06:00:00,D
2577.0_0_B1,NORTH SIDE 28 AVE BTWN 91 ST & LAKEWOO,,9d 14:45:00,,53.45897563,-113.4631064,TIPASKAN,1.0,roadway,0.33,0d 06:00:00,D
2626.0_0_B1,W/S & C 50 ST BTWN 11-13 AVE,,9d 14:45:00,,53.44063989,-113.4187295,CRAWFORD PLAINS,1.0,roadway,0.289,0d 06:00:00,D
2632.0_0_B1,MILLWOODS ROAD-36 AVE,,9d 14:45:00,,53.47026464,-113.4558261,RICHFIELD,1.0,neighbourhood,1.737,0d 06:00:00,D
2640.0_0_B1,WEST OF 24 ST: BETWEEN 38 & 43A AVE,,9d 14:45:00,,53.47847993,-113.3811779,LARKSPUR,1.0,neighbourhood,1.6815,0d 06:00:00,D
2642.0_0_B1,66 AVE - 3 ST,,9d 14:45:00,,53.5028667,-113.3485284,MAPLE RIDGE INDUSTRIAL,1.0,neighbourhood,1.9,0d 06:00:00,D
2662.0_0_B1,38 AVE-58 ST,,9d 14:45:00,,53.46988154,-113.4269172,HILLVIEW,1.0,neighbourhood,1.8665,0d 06:00:00,D
2683.0_0_B1,ES 91 ST BTWN 23 - 28 AVE,,9d 14:45:00,,53.45531632,-113.4657287,MEYONOHK,1.0,roadway,1.5,0d 06:00:00,D
2846.0_0_B1,S/S SH PK FREEWAY: OVERPASS - 50 ST(34 St to 50 St),,9d 14:45:00,,53.51414833,-113.4213001,DAVIES INDUSTRIAL EAST,1.0,roadway,0.4705,0d 06:00:00,D
2915.0_0_B1,N.S. 28 AVE BTWN PIPELINE & 66 ST,,9d 14:45:00,,53.45856711,-113.4369712,KAMEYOSEK,1.0,roadway,0.466,0d 06:00:00,D
2921.0_0_B1,WEST OF 37 ST & NORTH OF 28 AVE,,9d 14:45:00,,53.45907884,-113.3992562,BISSET,1.0,neighbourhood,0.1885,0d 06:00:00,D
2955.0_0_B1,ES 91 ST BTWN 28 & 34 AVE,,9d 14:45:00,,53.46192360000001,-113.465737,TIPASKAN,1.0,roadway,1.75,0d 06:00:00,D
2973.0_0_B1,BTWN 75 & 34 ST INCLUDING 82 AVE - 71 ST,,9d 14:45:00,,53.51591628,-113.4046955,MORRIS INDUSTRIAL,1.0,roadway,1.4505,0d 06:00:00,D
2985.0_0_B1,E/S & C 91 ST: -BTWN 58 & 63 AVE,,9d 14:45:00,,53.49343282,-113.4670906,CORONET ADDITION INDUSTRIAL,1.0,roadway,0.345,0d 06:00:00,D
3041.0_0_B1,38 ST - 34 ST & Whitemud Dr - Mill Creek Ravine,,9d 14:45:00,,53.48179332,-113.4036836,KINISKI GARDENS,1.0,neighbourhood,2.19,0d 06:00:00,D
3182.0_0_B1,93A AVE-58 ST,,9d 14:45:00,,53.52930644,-113.424802,OTTEWELL,1.0,neighbourhood,3.115,0d 06:00:00,D
3196.0_0_B1,SOUTH SIDE/C 23AVE BTWN MILLWOODS RD and 66 ST,,9d 14:45:00,,53.45344629,-113.4413081,MILL WOODS PARK,1.0,roadway,0.465,0d 06:00:00,D
3276.0_0_B1,EAST SIDE/C 50 ST BTWN 23-34 AVE,,9d 14:45:00,,53.45966866,-113.4205523,TAWA,1.0,roadway,0.6,0d 06:00:00,D
3313.0_0_B1,Summerside Dr - 88 St,,9d 14:45:00,,53.42007251,-113.46397240000002,SUMMERSIDE,1.0,neighbourhood,3.148,0d 06:00:00,D
3360.0_0_B1,BTWN 75 & 34 ST INCLUDING 82 AVE - 71 ST,,9d 14:45:00,,53.51578660000001,-113.4302362,GIRARD INDUSTRIAL,1.0,roadway,1.2715,0d 06:00:00,D
3377.0_0_B1,12 AVE-41 ST,,9d 14:45:00,,53.44155176,-113.40520890000002,CRAWFORD PLAINS,1.0,neighbourhood,2.285,0d 06:00:00,D
3399.0_0_B1,EAST SIDE 66 ST BTWN 10 AVE-MILLWOODS R,,9d 14:45:00,,53.44216099,-113.4385006,SAKAW,1.0,roadway,1.125,0d 06:00:00,D
3400.0_0_B1,19A AVE-57 ST/Millwoods road -56-62 ST,,9d 14:45:00,,53.44818909,-113.4285355,MEYOKUMIN,1.0,neighbourhood,2.1375,0d 06:00:00,D
3416.0_0_B1,E/S & C 66 ST: MILLWOODS RD S - 23 AVE,,9d 14:45:00,,53.44906998,-113.4354028,MEYOKUMIN,1.0,roadway,0.635,0d 06:00:00,D
3432.0_0_B1,EAST SIDE/C 50 ST-BTWN 40 AVE-WHITEMUD,,9d 14:45:00,,53.48054226,-113.417776,MILL WOODS GOLF COURSE,1.0,roadway,0.57,0d 06:00:00,D
3434.0_0_B1,319 - 83 St SW,,9d 14:45:00,,53.42943466,-113.4581559,ELLERSLIE,1.0,neighbourhood,2.5925,0d 06:00:00,D
3492.0_0_B1,N/S 23 AVE: 38 ST - 34 ST,,9d 14:45:00,,53.45401563,-113.3968153,BISSET,1.0,roadway,0.175,0d 06:00:00,D
3517.0_0_B1,SOUTH SIDE 34 AVE-BTWN-MILLWOODS RD E-34 St,,9d 14:45:00,,53.46363994,-113.4001809,BISSET,1.0,roadway,0.43,0d 06:00:00,D
3559.0_0_B1,38 ST-BTWN 38-41 AVE,,9d 14:45:00,,53.47481221,-113.4007496,KINISKI GARDENS,1.0,neighbourhood,2.7565,0d 06:00:00,D
3596.0_0_B1,WS/C 91 ST BTWM 39 AVE & WHITEMUD DRIVE,,9d 14:45:00,,53.47761346,-113.4671558,STRATHCONA INDUSTRIAL PARK,1.0,roadway,1.34,0d 06:00:00,D
3611.0_0_B1,98-101 AVE-64-67 ST,,9d 14:45:00,,53.53949827,-113.4305311,TERRACE HEIGHTS,1.0,neighbourhood,1.6965,0d 06:00:00,D
3618.0_0_B1,95 AVE-90 ST,,9d 14:45:00,,53.53239598,-113.4645996,STRATHEARN,1.0,neighbourhood,0.395,0d 06:00:00,D
3646.0_0_B1,58 ST & YOUVILLE DR EAST TO POLICE STATI,,9d 14:45:00,,53.46235135,-113.4255351,TAWA,1.0,neighbourhood,3.52,0d 06:00:00,D
3647.0_0_B1,55 ST-BTWN 28 AVE-25 AVE,,9d 14:45:00,,53.45759036,-113.4246402,MILL WOODS TOWN CENTRE,1.0,neighbourhood,1.065,0d 06:00:00,D
3666.0_0_B1,North of Edwards Drive SW & East of 91 St SW,,9d 14:45:00,,53.43105561,-113.4669521,ELLERSLIE,1.0,neighbourhood,0.2105,0d 06:00:00,D
3667.0_0_B1,East of 88 St SW & South of 6 Ave SW,,9d 14:45:00,,53.42618572,-113.466953,ELLERSLIE,1.0,neighbourhood,0.2595,0d 06:00:00,D
3705.0_0_B1,Ellerslie Road & 91 St SW,,9d 14:45:00,,53.42400853,-113.4711774,SUMMERSIDE,1.0,neighbourhood,0.3,0d 06:00:00,D
3706.0_0_B1,S/S Ellerslie Road: Parsons Rd - 91 St,,9d 14:45:00,,53.42491500000001,-113.4765264,ELLERSLIE INDUSTRIAL,1.0,roadway,0.225,0d 06:00:00,D
3707.0_0_B1,S/S Ellerslie Road: 91 St - 78 St,,9d 14:45:00,,53.42474573,-113.4597029,SUMMERSIDE,1.0,roadway,0.5,0d 06:00:00,D
3846.0_0_B1,BTWN MILLBOURNE RD E-66 ST,,9d 14:45:00,,53.47997797,-113.4441735,MICHAELS PARK,1.0,neighbourhood,0.1815,0d 06:00:00,D
3897.0_0_B1,WEST OF 23 ST: 38 AVE - 37A AVE,,9d 14:45:00,,53.4739436,-113.3811523,WILD ROSE,1.0,neighbourhood,1.0235,0d 06:00:00,D
3907.0_0_B1,W/S & C 34 St: 38 Ave South to Ravine,,9d 14:45:00,,53.46893081,-113.3939601,KINISKI GARDENS,1.0,roadway,0.6725,0d 06:00:00,D
3921.0_0_B1,EAST SIDE/C 66 ST: 38 AVE-WHITEMUD DRIVE,,9d 14:45:00,,53.47947008,-113.44126740000002,MILL WOODS GOLF COURSE,1.0,roadway,0.65,0d 06:00:00,D
3951.0_0_B1,W/S 34 ST: WHITEMUD DR - 38 AVE,,9d 14:45:00,,53.4802683,-113.3939614,KINISKI GARDENS,1.0,roadway,0.5,0d 06:00:00,D
3958.0_0_B1,80 ST-S OF 101 AVE,,9d 14:45:00,,53.53927859,-113.4508733,FOREST HEIGHTS,1.0,neighbourhood,1.0,0d 06:00:00,D
3959.0_0_B1,E/S & C 50 ST: 92 AVE - 101 AVE,,9d 14:45:00,,53.53249873,-113.4183825,EASTGATE BUSINESS PARK,1.0,neighbourhood,1.025,0d 06:00:00,D
3974.0_0_B1,17 ST-66 AVE,,9d 14:45:00,,53.50154929,-113.3675824,SOUTHEAST INDUSTRIAL,1.0,neighbourhood,4.631,0d 06:00:00,D
3977.0_0_B1,WEST SIDE 50 ST BTWN 38-40 AVE,,9d 14:45:00,,53.4731319,-113.4160265,GREENVIEW,1.0,roadway,0.2,0d 06:00:00,D
3996.0_0_B1,MILLBOURNE RD E-LEE RIDGE RD,,9d 14:45:00,,53.47100097,-113.4468918,LEE RIDGE,1.0,neighbourhood,2.5,0d 06:00:00,D
4010.0_0_B1,N/S & C 90 AVE: 75 ST - 85 ST,,9d 14:45:00,,53.52534617,-113.4499205,IDYLWYLDE,1.0,neighbourhood,0.2785,0d 06:00:00,D
4011.0_0_B1,67A ST-93A AVE,,9d 14:45:00,,53.53125177,-113.4270686,OTTEWELL,1.0,neighbourhood,5.5,0d 06:00:00,D
4013.0_0_B1,67 ST - 6 AVE SW,,9d 14:45:00,,53.42720319,-113.447899,ELLERSLIE,1.0,neighbourhood,1.5,0d 06:00:00,D
4034.0_0_B1,EAST SIDE/C 50 ST 38 - 40 AVE,,9d 14:45:00,,53.47302522,-113.4155722,MINCHAU,1.0,roadway,0.282,0d 06:00:00,D
4035.0_0_B1,79 AVE-87 ST,,9d 14:45:00,,53.51411138,-113.4595635,GREENVIEW,1.0,neighbourhood,1.1275,0d 06:00:00,D
4043.0_0_B1,79 ST-94 AVE,,9d 14:45:00,,53.53148454,-113.4508368,PAPASCHASE INDUSTRIAL,1.0,neighbourhood,2.6645,0d 06:00:00,D
4045.0_0_B1,17 Ave-18A Ave & 48 St-Mill Woods Road East,,9d 14:45:00,,53.44749477,-113.4080485,OTTEWELL,1.0,neighbourhood,5.2235,0d 06:00:00,D
4048.0_0_B1,1888 - 37 ST,,9d 14:45:00,,53.44873644,-113.4006682,DALY GROVE,1.0,neighbourhood,2.456,0d 06:00:00,D
4081.0_0_B1,SOUTH SIDE&C 23 AVE-BTWN 85 ST-MILLWOO,,9d 14:45:00,,53.45243671,-113.4541011,SATOO,1.0,roadway,0.535,0d 06:00:00,D
4087.0_0_B1,91 ST BTWN 51 & 54 AVE,,9d 14:45:00,,53.48984947,-113.46703159999998,CORONET INDUSTRIAL,1.0,roadway,0.4,0d 06:00:00,D
4122.0_0_B1,43A AVE: 27 - 30 ST,,9d 14:45:00,,53.47978351,-113.3847698,LARKSPUR,1.0,neighbourhood,4.77,0d 06:00:00,D
4123.0_0_B1,91 ST-86 AVE,,9d 14:45:00,,53.5227385,-113.4689726,BONNIE DOON,1.0,neighbourhood,0.17600000000000002,0d 06:00:00,D
4165.0_0_B1,23 ST & 37A AVE,,9d 14:45:00,,53.47135276,-113.3787691,WILD ROSE,1.0,neighbourhood,2.3575,0d 06:00:00,D
4177.0_0_B1,Millbourned Road West & 40 Ave,,9d 14:45:00,,53.47576909,-113.4545088,TWEDDLE PLACE,1.0,neighbourhood,1.0415,0d 06:00:00,D
4186.0_0_B1,JAMHA ROAD & JACKSON ROAD,,9d 14:45:00,,53.48343111,-113.40725790000002,JACKSON HEIGHTS,1.0,neighbourhood,1.273,0d 06:00:00,D
4198.0_0_B1,79 ST-98 AVE,,9d 14:45:00,,53.53804707,-113.4470586,FOREST HEIGHTS,1.0,neighbourhood,1.035,0d 06:00:00,D
4204.0_0_B1,SOUTH SIDE/C 34 AVE-BTWN-66-50 ST,,9d 14:45:00,,53.46524425,-113.4282146,TAWA,1.0,roadway,0.5,0d 06:00:00,D
4259.0_0_B1,44 ST-39 AVE,,9d 14:45:00,,53.47452958,-113.4056587,KINISKI GARDENS,1.0,neighbourhood,0.2085,0d 06:00:00,D
4260.0_0_B1,W/S MILL WOODS RD EAST: 23 AVE - 34 AVE,,9d 14:45:00,,53.4598939,-113.4075201,WEINLOS,1.0,roadway,0.621,0d 06:00:00,D
4261.0_0_B1,54 ST & 107A AVE,,9d 14:45:00,,53.55571284,-113.4235434,CAPILANO,1.0,neighbourhood,2.5,0d 06:00:00,D
4262.0_0_B1,WEST SIDE 50 ST-82-90 AVE,,9d 14:45:00,,53.52051234,-113.4190959,OTTEWELL,1.0,neighbourhood,0.332,0d 06:00:00,D
4267.0_0_B1,37 ST-33 AVE,,9d 14:45:00,,53.46154834,-113.4005705,BISSET,1.0,neighbourhood,3.746,0d 06:00:00,D
4294.0_0_B1,48 ST & 28 AVE,,9d 14:45:00,,53.46097016,-113.4141569,WEINLOS,1.0,neighbourhood,3.0135,0d 06:00:00,D
4308.0_0_B1,86 AVE-68A ST,,9d 14:45:00,,53.51979663,-113.4305139,KENILWORTH,1.0,neighbourhood,1.31,0d 06:00:00,D
4328.0_0_B1,79 ST-LAKEWOOD RD S,,9d 14:45:00,,53.45529188,-113.4558291,MEYONOHK,1.0,neighbourhood,2.096,0d 06:00:00,D
4331.0_0_B1,EAST OF 75 ST SW & NORTH OF 7 AVE SW,,9d 14:45:00,,53.42781177,-113.44932,ELLERSLIE,1.0,neighbourhood,0.2455,0d 06:00:00,D
4341.0_0_B1,41 AVE-41 ST,,9d 14:45:00,,53.47838217,-113.4062629,KINISKI GARDENS,1.0,neighbourhood,3.3015,0d 06:00:00,D
4344.0_0_B1,W/S & C 34 St: 34 Ave - 23 Ave,,9d 14:45:00,,53.45868909,-113.3941215,BISSET,1.0,roadway,1.44,0d 06:00:00,D
4365.0_0_B1,SOUTH SIDE/C 34 AVE-91 ST-MILLWOODS RD,,9d 14:45:00,,53.46504899,-113.4592898,RICHFIELD,1.0,roadway,0.4335,0d 06:00:00,D
4398.0_0_B1,17 St - 68 Ave,,9d 14:45:00,,53.50519941,-113.3651641,SOUTHEAST INDUSTRIAL,1.0,neighbourhood,1.9165,0d 06:00:00,D
4415.0_0_B1,East of 30 St: 33 Ave - 23 Ave,,9d 14:45:00,,53.45963731,-113.38172140000002,SILVER BERRY,1.0,neighbourhood,2.2915,0d 06:00:00,D
4423.0_0_B1,MW RD S-75 ST/ES OF SCHOOL,,9d 14:45:00,,53.44656424,-113.4479371,EKOTA,1.0,neighbourhood,0.406,0d 06:00:00,D
4427.0_0_B1,LAKEWOOD RD E - 31 AVE,,9d 14:45:00,,53.46125892,-113.4432301,KAMEYOSEK,1.0,neighbourhood,2.4305,0d 06:00:00,D
4443.0_0_B1,28 Ave: Parsons Road (99 St) - 91 St,,9d 14:45:00,,53.45879988,-113.475642,PARSONS INDUSTRIAL,1.0,roadway,0.735,0d 06:00:00,D
4452.0_0_B1,E/S & C 50 ST: 82 - 90 AVE,,9d 14:45:00,,53.51956079,-113.4183455,LAMBTON INDUSTRIAL,1.0,neighbourhood,0.19,0d 06:00:00,D
4471.0_0_B1,Tamarack Green - 12 St,,9d 14:45:00,,53.46908585,-113.3606443,TAMARACK,1.0,neighbourhood,3.435,0d 06:00:00,D
4482.0_0_B1,E/S & C 50 St: Mill Woods Road South - 23 Ave,,9d 14:45:00,,53.44998974,-113.4193237,POLLARD MEADOWS,1.0,roadway,0.95,0d 06:00:00,D
4483.0_0_B1,EAST SIDE/C 50 ST BTWN 34 & 38 AVE,,9d 14:45:00,,53.46759607,-113.4181133,MINCHAU,1.0,roadway,0.35700000000000004,0d 06:00:00,D
4485.0_0_B1,E/S & C 66 ST: 34 AVE - 38 AVE,,9d 14:45:00,,53.46980168,-113.4376774,LEE RIDGE,1.0,roadway,0.5,0d 06:00:00,D
4529.0_0_B1,Ellerslie Rd:101 St-91 St & Parsons Rd:N of Ellersli,,9d 14:45:00,,53.42624096,-113.4829633,ELLERSLIE INDUSTRIAL,1.0,roadway,0.8,0d 06:00:00,D
4531.0_0_B1,66 St SW & 2 Ave SW,,9d 14:45:00,,53.429125,-113.4404401,CHARLESWORTH,1.0,neighbourhood,0.55,0d 06:00:00,D
4532.0_0_B1,3225 - 35 A Ave,,9d 14:45:00,,53.46712332,-113.3923492,WILD ROSE,1.0,neighbourhood,0.412,0d 06:00:00,D
4533.0_0_B1,East Side & Center 17 St: Whitemud Drive - 34 Av,,9d 14:45:00,,53.47641410000001,-113.3685041,TAMARACK,1.0,roadway,1.01,0d 06:00:00,D
4538.0_0_B1,38 AVE-58 ST,,9d 14:45:00,,53.47530033,-113.427371,GREENVIEW,1.0,neighbourhood,4.269,0d 06:00:00,D
4539.0_0_B1,3335 - 25 Street,,9d 14:45:00,,53.465245,-113.3785316,SILVER BERRY,1.0,neighbourhood,1.1795,0d 06:00:00,D
4543.0_0_B1,ELLERSLIE ROAD-66 ST,,9d 14:45:00,,53.42636695,-113.4405375,CHARLESWORTH,1.0,neighbourhood,2.8,0d 06:00:00,D
4550.0_0_B1,BTWN 75 & 34 ST INCLUDING 82 AVE - 71 ST,,9d 14:45:00,,53.51408458,-113.4324145,GAINER INDUSTRIAL,1.0,roadway,0.2385,0d 06:00:00,D
4554.0_0_B1,66 St Ellerslie to 2 AVE,,9d 14:45:00,,53.42793174,-113.4427959,ELLERSLIE,1.0,roadway,0.375,0d 06:00:00,D
4556.0_0_B1,FULTON ROAD-103-104 AVE,,9d 14:45:00,,53.54598543,-113.4250088,FULTON PLACE,1.0,neighbourhood,1.3815,0d 06:00:00,D
4572.0_0_B1,KNOTTWOOD ROAD W-17 AVE,,9d 14:45:00,,53.44613593,-113.4576249,SATOO,1.0,neighbourhood,1.5575,0d 06:00:00,D
4576.0_0_B1,94 AVE-OTTEWELL ROAD,,9d 14:45:00,,53.53142729,-113.4372789,OTTEWELL,1.0,neighbourhood,1.7105,0d 06:00:00,D
4581.0_0_B1,Savaryn Drive & Summerside Link,,9d 14:45:00,,53.41291999,-113.4775009,SUMMERSIDE,1.0,neighbourhood,1.367,0d 06:00:00,D
4586.0_0_B1,67-70 ST-101-103 AVE,,9d 14:45:00,,53.54272791,-113.432695,TERRACE HEIGHTS,1.0,neighbourhood,0.589,0d 06:00:00,D
4604.0_0_B1,46 St & 106 Ave,,9d 14:45:00,,53.54981941,-113.4141054,GOLD BAR,1.0,neighbourhood,1.48,0d 06:00:00,D
4609.0_0_B1,89 ST-95 AVE,,9d 14:45:00,,53.5307297,-113.46209609999998,STRATHEARN,1.0,neighbourhood,1.44,0d 06:00:00,D
4616.0_0_B1,83 ST-100 AVE,,9d 14:45:00,,53.53934181,-113.4556598,FOREST HEIGHTS,1.0,neighbourhood,0.475,0d 06:00:00,D
4623.0_0_B1,104 AVE-62 ST,,9d 14:45:00,,53.54797208,-113.4299653,FULTON PLACE,1.0,neighbourhood,1.3025,0d 06:00:00,D
