,Id,Level,address,cluster,day,end-time,index,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,service-duration,start-time,type
45,382_2_0_B1,B1,93 ST-92 AVE,,,3d 14:45:00,,,53.52806581,-113.47073219999999,BONNIE DOON,1,1,382_0,neighbourhood,1.385555556,3d 06:00:00,D
46,383.0_0_B1,B1,HILLVIEW CRESENT (52 ST & 34 B AVE),,,9d 14:45:00,,,53.46695088,-113.42127240000002,HILLVIEW,10,1,383.0_0,neighbourhood,0.36,0d 06:00:00,D
47,385.0_0_B1,B1,95 AVE-94-95 ST,,,9d 14:45:00,,,53.53191903,-113.4726713,BONNIE DOON,10,1,385.0_0,neighbourhood,0.4699999992,0d 06:00:00,D
48,386.0_0_B1,B1,90 AVE-88 ST,,,9d 14:45:00,,,53.52545463,-113.46194540000002,BONNIE DOON,10,1,386.0_0,neighbourhood,0.5666666664,0d 06:00:00,D
49,402.0_0_B1,B1,EAST SIDE MILLWOODS RD & 34-28 AVE,,,9d 14:45:00,,,53.46369927,-113.45019140000001,KAMEYOSEK,10,1,402.0_0,roadway,0.5066666664,0d 06:00:00,D
53,406.0_0_B1,B1,CONNECTS 89 ST-BACK LANE-BTWN-24-25A A,,,9d 14:45:00,,,53.45386309,-113.46200990000001,MEYONOHK,10,1,406.0_0,neighbourhood,0.1933333344,0d 06:00:00,D
55,408.0_0_B1,B1,89 ST - LAKEWOOD RD. WEST & 26-27 AVE,,,9d 14:45:00,,,53.45687343,-113.4632328,MEYONOHK,10,1,408.0_0,neighbourhood,0.22666666559999998,0d 06:00:00,D
58,468.0_0_B1,B1,42 ST-12-10 AVE,,8.0,8d 14:45:00,,,53.43896847,-113.40710359999999,CRAWFORD PLAINS,1,1,468.0_0,neighbourhood,2.1833333328,8d 06:00:00,D
59,469.0_0_B1,B1,LEE RIDGE RD-E 71 ST,,,9d 14:45:00,,,53.46767804,-113.4416367,LEE RIDGE,10,1,469.0_0,neighbourhood,1.4666666664,0d 06:00:00,D
61,476.0_0_B1,B1,104 ST-SASKATCHEWAN DRIVE-83 AVE,,,9d 14:45:00,,,53.5213299,-113.49756000000001,STRATHCONA,10,1,476.0_0,neighbourhood,0.38333333280000004,0d 06:00:00,D
63,511_0_0_B1,B1,85 ST-STRATHEARN DRIVE,,0.0,0d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,10,1,511_0,neighbourhood,1.5733333344,0d 06:00:00,D
64,511_0_0_B1,B1,85 ST-STRATHEARN DRIVE,,3.0,3d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,1,1,511_0,neighbourhood,1.5733333344,3d 06:00:00,D
65,511_1_0_B1,B1,85 ST-STRATHEARN DRIVE,,0.0,0d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,10,1,511_0,neighbourhood,1.5733333344,0d 06:00:00,D
66,511_1_0_B1,B1,85 ST-STRATHEARN DRIVE,,3.0,3d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,1,1,511_0,neighbourhood,1.5733333344,3d 06:00:00,D
67,511_2_0_B1,B1,85 ST-STRATHEARN DRIVE,,0.0,0d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,10,1,511_0,neighbourhood,1.5733333344,0d 06:00:00,D
68,511_2_0_B1,B1,85 ST-STRATHEARN DRIVE,,3.0,3d 14:45:00,,,53.53669821,-113.46189820000001,CLOVERDALE,1,1,511_0,neighbourhood,1.5733333344,3d 06:00:00,D
69,534.0_0_B1,B1,SUMMERSIDE DRIVE: ELLERSLIE RD - 11 AVE,,,9d 14:45:00,,,53.42428779,-113.46306070000001,SUMMERSIDE,10,1,534.0_0,neighbourhood,0.21666666720000002,0d 06:00:00,D
71,538.0_0_B1,B1,20A AVE-55 ST,,,9d 14:45:00,,,53.4516189,-113.4239362,MEYOKUMIN,10,1,538.0_0,neighbourhood,0.9633333336000001,0d 06:00:00,D
78,568.0_0_B1,B1,50 ST BTWN 76 & 82 AVE,,6.0,6d 14:45:00,,,53.51698107,-113.4182013,GAINER INDUSTRIAL,1,1,568.0_0,neighbourhood,0.23333333280000002,6d 06:00:00,D
79,579.0_0_B1,B1,EAST SIDE MILLWOODS RD & 36B AVE-34 AVE,,,9d 14:45:00,,,53.46729849,-113.4503892,LEE RIDGE,10,1,579.0_0,roadway,1.2133333344,0d 06:00:00,D
80,590.0_0_B1,B1,47 ST & 106B AVE,,7.0,7d 14:45:00,,,53.55320893,-113.4135622,GOLD BAR,1,1,590.0_0,neighbourhood,0.8999999999999999,7d 06:00:00,D
81,596_0_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,6d 14:45:00,,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,1.9999999992000002,6d 06:00:00,D
82,596_1_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,6d 14:45:00,,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,1.9999999992000002,6d 06:00:00,D
83,596_2_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,6d 14:45:00,,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,1.9999999992000002,6d 06:00:00,D
84,597.0_0_B1,B1,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,,,9d 14:45:00,,,53.48042908,-113.4525123,TWEDDLE PLACE,10,1,597.0_0,roadway,1.4066666664,0d 06:00:00,D
85,598.0_0_B1,B1,Between 132 & 136 Easton Road SW,,,9d 14:45:00,,,53.42752392,-113.46877420000001,ELLERSLIE,10,1,598.0_0,neighbourhood,1.5,0d 06:00:00,D
87,614.0_0_B1,B1,71 ST-LEE RIDGE RD,,,9d 14:45:00,,,53.46648414,-113.44256090000002,LEE RIDGE,10,1,614.0_0,neighbourhood,0.2366666664,0d 06:00:00,D
88,615.0_0_B1,B1,BTWN-38 AVE-SCHOOL-ADJ CLINIC,,,9d 14:45:00,,,53.47314712,-113.44776599999999,LEE RIDGE,10,1,615.0_0,neighbourhood,0.3633333336,0d 06:00:00,D
89,623.0_0_B1,B1,KNOTTWOOD RD. EAST -68 ST & N. OF 19 AVE,,,9d 14:45:00,,,53.45082585,-113.43936370000002,EKOTA,10,1,623.0_0,neighbourhood,0.7933333344,0d 06:00:00,D
93,642.0_0_B1,B1,39-41 AVE & 23 ST-TRANSALTA R.O.W.,,0.0,0d 14:45:00,,,53.47865242,-113.37917479999999,LARKSPUR,10,1,642.0_0,neighbourhood,2.6933333328000004,0d 06:00:00,D
94,643.0_0_B1,B1,77 AVE-73 ST,,3.0,3d 14:45:00,,,53.51372686,-113.44100120000002,KING EDWARD PARK,1,1,643.0_0,neighbourhood,3.7333333344,3d 06:00:00,D
96,666.0_0_B1,B1,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,,,9d 14:45:00,,,53.424798362,-113.419698009,WALKER,10,1,666.0_0,roadway,1.010555556,0d 06:00:00,D
97,693.0_0_B1,B1,74 ST-44 AVE,,,9d 14:45:00,,,53.48356597,-113.45160759999999,MICHAELS PARK,10,1,693.0_0,neighbourhood,0.2299999992,0d 06:00:00,D
98,694.0_0_B1,B1,81 ST-86 AVE,,,9d 14:45:00,,,53.5228885,-113.4517041,IDYLWYLDE,10,1,694.0_0,neighbourhood,1.4299999992,0d 06:00:00,D
100,724.0_0_B1,B1,86 ST-BTWN WHITEMUD DRIVE-51 AVE,,,9d 14:45:00,,,53.48643348,-113.4537909,MCINTYRE INDUSTRIAL,10,1,724.0_0,roadway,0.2966666664,0d 06:00:00,D
102,777.0_0_B1,B1,Road Allowance,,2.0,2d 14:45:00,,,53.44096431,-113.3942473,CRAWFORD PLAINS,1,1,777.0_0,roadway,1.1666666664000003,2d 06:00:00,D
104,786.0_0_B1,B1,35B Ave: 31 St - 29 St,,,9d 14:45:00,,,53.4680613,-113.38650619999999,WILD ROSE,10,1,786.0_0,neighbourhood,0.16999999919999997,0d 06:00:00,D
105,787.0_0_B1,B1,1202 Summerside Drive,,4.0,4d 14:45:00,,,53.42230666,-113.46684909999999,SUMMERSIDE,1,1,787.0_0,neighbourhood,1.1333333328,4d 06:00:00,D
106,789.0_0_B1,B1,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,,9.0,9d 14:45:00,,,53.45895751,-113.45680449999999,TIPASKAN,10,1,789.0_0,roadway,1.8666666672,9d 06:00:00,D
109,820.0_0_B1,B1,78 ST-BTWN-21-22 AVE,,,9d 14:45:00,,,53.45229309,-113.4495041,SATOO,10,1,820.0_0,neighbourhood,0.1866666672,0d 06:00:00,D
110,841.0_0_B1,B1,76 ST-88 AVE,,,9d 14:45:00,,,53.52354243,-113.4443855,IDYLWYLDE,10,1,841.0_0,neighbourhood,0.4999999992,0d 06:00:00,D
114,881.0_0_B1,B1,86 ST-67 AVE,,,9d 14:45:00,,,53.50248620000001,-113.45885,ARGYLL,10,1,881.0_0,neighbourhood,0.5266666656,0d 06:00:00,D
115,883.0_0_B1,B1,9812 96A Street NW,,4.0,4d 14:45:00,,,53.53870576,-113.4795739,CLOVERDALE,1,1,883.0_0,neighbourhood,4.0000000008,4d 06:00:00,D
118,926.0_0_B1,B1,89 AVE-100 ST,,,9d 14:45:00,,,53.52461864,-113.4895913,STRATHCONA,10,1,926.0_0,neighbourhood,0.7133333328,0d 06:00:00,D
119,947.0_0_B1,B1,ARGYLL RD N/S BTWN 86 ST & 83 ST,,7.0,7d 14:45:00,,,53.50190593,-113.4560504,ARGYLL,1,1,947.0_0,neighbourhood,0.3633333336,7d 06:00:00,D
120,953.0_0_B1,B1,68 ST - 11 AVE,,,9d 14:45:00,,,53.440090399999995,-113.44158859999999,MENISA,10,1,953.0_0,neighbourhood,0.1733333328,0d 06:00:00,D
123,975.0_0_B1,B1,SOUTH SIDE/WS MILBOURNE RD E & E OF 74,,,9d 14:45:00,,,53.48161951,-113.44761310000001,MICHAELS PARK,10,1,975.0_0,neighbourhood,2.4533333328,0d 06:00:00,D
124,976.0_0_B1,B1,SOUTH SIDE 23 AVE BTWN 38-34 ST,,2.0,2d 14:45:00,,,53.45366325,-113.3962258,BISSET,1,1,976.0_0,roadway,1.0600000008000001,2d 06:00:00,D
125,979_0_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,5d 14:45:00,,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,1.4111111112,5d 06:00:00,D
126,979_1_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,5d 14:45:00,,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,1.4111111112,5d 06:00:00,D
127,979_2_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,5d 14:45:00,,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,1.4111111112,5d 06:00:00,D
133,996.0_0_B1,B1,GREENOCH CRESCENT-W 50 ST-GOLF COURS,,7.0,7d 14:45:00,,,53.47794898,-113.42073059999998,GREENVIEW,1,1,996.0_0,neighbourhood,0.8200000008,7d 06:00:00,D
134,1001.0_0_B1,B1,NORTH SIDE 44 AVE-BTWN 49 ST-JACKSON R,,,9d 14:45:00,,,53.48206292,-113.41329909999999,JACKSON HEIGHTS,10,1,1001.0_0,neighbourhood,0.3366666672,0d 06:00:00,D
135,1017.0_0_B1,B1,97 AVE-66 ST,,,9d 14:45:00,,,53.53593095,-113.4310656,OTTEWELL,10,1,1017.0_0,neighbourhood,0.7233333336000001,0d 06:00:00,D
136,1035.0_0_B1,B1,BTWN LAKEWOOD RD S-23 AVE-W 83 ST,,,9d 14:45:00,,,53.45299725,-113.45810049999999,MEYONOHK,10,1,1035.0_0,neighbourhood,0.7666666656000001,0d 06:00:00,D
137,1048.0_0_B1,B1,CENTER MEIDAIN - WATT BLVD TO WATT COMMON,,,9d 14:45:00,,,53.42474558,-113.4309533,CHARLESWORTH,10,1,1048.0_0,roadway,0.9966666672,0d 06:00:00,D
138,1050.0_0_B1,B1,SOUTH BUFFER - WATT BLVD TO WATT COMMON,,,9d 14:45:00,,,53.42493252,-113.4311662,CHARLESWORTH,10,1,1050.0_0,roadway,1.9933333344,0d 06:00:00,D
142,1075.0_0_B1,B1,SOUTH SIDE 98 AVE: 57 ST-TERRACE ROAD,,,9d 14:45:00,,,53.53849365,-113.4265287,OTTEWELL,10,1,1075.0_0,neighbourhood,1.1333333328,0d 06:00:00,D
143,1091.0_0_B1,B1,JAMHA RD - JAMES CRESCENT,,,9d 14:45:00,,,53.48405855,-113.4134176,JACKSON HEIGHTS,10,1,1091.0_0,neighbourhood,0.2866666656,0d 06:00:00,D
145,1103.0_0_B1,B1,35 AVE-48 ST,,,9d 14:45:00,,,53.46609391,-113.4143055,MINCHAU,10,1,1103.0_0,neighbourhood,2.4133333344,0d 06:00:00,D
148,1113.0_0_B1,B1,WS/C 91 ST BTWN 23 & 28 AVE,,,9d 14:45:00,,,53.45538745,-113.467122,PARSONS INDUSTRIAL,10,1,1113.0_0,roadway,3.8366666663999993,0d 06:00:00,D
149,1118.0_0_B1,B1,Between 8225 & 8229 - 8 Ave SW,,,9d 14:45:00,,,53.42524929,-113.46066029999999,ELLERSLIE,10,1,1118.0_0,neighbourhood,0.43333333440000005,0d 06:00:00,D
155,1135.0_0_B1,B1,36A AVE EAST OF 30 ST,,,9d 14:45:00,,,53.46996222,-113.38484509999999,WILD ROSE,10,1,1135.0_0,neighbourhood,2.7866666664,0d 06:00:00,D
158,1139.0_0_B1,B1,79 ST-73 AVE,,,9d 14:45:00,,,53.50890304,-113.4480183,AVONMORE,10,1,1139.0_0,neighbourhood,0.2533333344,0d 06:00:00,D
159,1140.0_0_B1,B1,CENTRE ISLANDS 75ST - 73-76 AVE,,,9d 14:45:00,,,53.510901000000004,-113.44287879999999,GIRARD INDUSTRIAL,10,1,1140.0_0,neighbourhood,0.18,0d 06:00:00,D
162,1167.0_0_B1,B1,ALONG MILLBOURNE RD W-BTWN-76-85 ST,,,9d 14:45:00,,,53.48079517,-113.4552256,TWEDDLE PLACE,10,1,1167.0_0,neighbourhood,2.2433333328000002,0d 06:00:00,D
163,1170.0_0_B1,B1,57 ST - 14 AVE,,,9d 14:45:00,,,53.4430186,-113.4269189,SAKAW,10,1,1170.0_0,neighbourhood,0.1766666664,0d 06:00:00,D
164,1174.0_0_B1,B1,64 AVE-86-87 ST,,,9d 14:45:00,,,53.50075934,-113.4611437,ARGYLL,10,1,1174.0_0,neighbourhood,0.5500000007999999,0d 06:00:00,D
165,1175.0_0_B1,B1,87 ST-68 AVE,,,9d 14:45:00,,,53.50386697,-113.4623646,ARGYLL,10,1,1175.0_0,neighbourhood,0.5066666664,0d 06:00:00,D
166,1176.0_0_B1,B1,87 ST-75 AVE,,,9d 14:45:00,,,53.51111583,-113.46078529999998,AVONMORE,10,1,1176.0_0,neighbourhood,0.5766666671999999,0d 06:00:00,D
167,1177.0_0_B1,B1,49 ST-S 27 AVE/24 AVE-49A ST,,,9d 14:45:00,,,53.45756451,-113.4189917,WEINLOS,10,1,1177.0_0,neighbourhood,1.4466666672000001,0d 06:00:00,D
170,1184.0_0_B1,B1,81 ST - 33 AVE,,,9d 14:45:00,,,53.46414889,-113.45524329999999,TIPASKAN,10,1,1184.0_0,neighbourhood,0.24,0d 06:00:00,D
171,1187.0_0_B1,B1,66 AVE-86 ST,,,9d 14:45:00,,,53.502250399999994,-113.4615795,ARGYLL,10,1,1187.0_0,neighbourhood,1.6833333336,0d 06:00:00,D
172,1201.0_0_B1,B1,68 - 72 ST & 10 AVE - KNOTTWOOD RD. EAST,,,9d 14:45:00,,,53.44102796,-113.4436001,MENISA,10,1,1201.0_0,neighbourhood,2.1033333336,0d 06:00:00,D
173,1202.0_0_B1,B1,BTWN-11-10 AVE-72 ST,,,9d 14:45:00,,,53.43910077,-113.4446028,MENISA,10,1,1202.0_0,neighbourhood,0.20666666639999998,0d 06:00:00,D
175,1228.0_0_B1,B1,90 AVE-100 ST,,,9d 14:45:00,,,53.52571401,-113.4889881,STRATHCONA,10,1,1228.0_0,neighbourhood,0.9833333328000001,0d 06:00:00,D
177,1253.0_0_B1,B1,8729 - 58 Avenue,,,9d 14:45:00,,,53.49184378,-113.46000090000001,DAVIES INDUSTRIAL WEST,10,1,1253.0_0,neighbourhood,0.6266666663999999,0d 06:00:00,D
180,1308.0_0_B1,B1,LEE RIDGE RD-N 36A AVE,,,9d 14:45:00,,,53.47247757,-113.44112849999999,LEE RIDGE,10,1,1308.0_0,neighbourhood,1.0633333344,0d 06:00:00,D
181,1312.0_0_B1,B1,BTWN-19A-23 AVE-E 61 ST,,,9d 14:45:00,,,53.45190384,-113.4304811,MEYOKUMIN,10,1,1312.0_0,neighbourhood,1.1133333336,0d 06:00:00,D
182,1313.0_0_B1,B1,37-38 AVE & 32-34 ST,,7.0,7d 14:45:00,,,53.47213596,-113.3919408,LARKSPUR,1,1,1313.0_0,neighbourhood,1.2133333344,7d 06:00:00,D
183,1316.0_0_B1,B1,54 ST-94 AVE,,,9d 14:45:00,,,53.53171493,-113.4217322,OTTEWELL,10,1,1316.0_0,neighbourhood,0.8899999992000001,0d 06:00:00,D
188,1361.0_0_B1,B1,31-33 ST-43-44 AVE,,,9d 14:45:00,,,53.48157221,-113.39082890000002,LARKSPUR,10,1,1361.0_0,neighbourhood,3.6133333344,0d 06:00:00,D
194,1435.0_0_B1,B1,BTWN-KNOTTWOOD RD S-10 AVE-W OF 82 ST,,,9d 14:45:00,,,53.44120747,-113.4595298,SATOO,10,1,1435.0_0,neighbourhood,0.6799999992,0d 06:00:00,D
197,1446.0_0_B1,B1,58 AVE-87 ST,,,9d 14:45:00,,,53.49314887,-113.4595989,DAVIES INDUSTRIAL WEST,10,1,1446.0_0,neighbourhood,0.4300000008,0d 06:00:00,D
198,1447.0_0_B1,B1,NORTH SIDE MILLWOODS RD-BTWN-91 ST-38,,,9d 14:45:00,,,53.47401729,-113.4594378,TWEDDLE PLACE,10,1,1447.0_0,roadway,0.49333333440000005,0d 06:00:00,D
200,1450.0_0_B1,B1,BTWN-85-91 ST,,7.0,7d 14:45:00,,,53.46912852,-113.4624634,RICHFIELD,1,1,1450.0_0,neighbourhood,1.2799999992,7d 06:00:00,D
201,1451.0_0_B1,B1,MILLBOURNE RD E-LEE RIDGE RD-N 36A AVE,,,9d 14:45:00,,,53.47182007,-113.44302379999999,LEE RIDGE,10,1,1451.0_0,neighbourhood,1.6866666672,0d 06:00:00,D
202,1452.0_0_B1,B1,87 -89 ST & 33 AVE - LAKEWOOD RD. NORTH,,,9d 14:45:00,,,53.46316160000001,-113.4618949,TIPASKAN,10,1,1452.0_0,neighbourhood,0.4066666656,0d 06:00:00,D
203,1453.0_0_B1,B1,89 ST BTWN 29 & 30 AVE,,,9d 14:45:00,,,53.46072409,-113.46233400000001,TIPASKAN,10,1,1453.0_0,neighbourhood,0.19999999919999997,0d 06:00:00,D
204,1456.0_0_B1,B1,NORTH SIDE 90 AVE-75 ST,,,9d 14:45:00,,,53.52541651,-113.44071100000001,OTTEWELL,10,1,1456.0_0,neighbourhood,0.5500000007999999,0d 06:00:00,D
205,1457.0_0_B1,B1,89 ST SW & 8 AVE SW,,,9d 14:45:00,,,53.425592599999995,-113.4703023,ELLERSLIE,10,1,1457.0_0,neighbourhood,0.33333333359999995,0d 06:00:00,D
210,1497.0_0_B1,B1,76 St - Millbourne Road West,,,9d 14:45:00,,,53.47941443,-113.45456909999999,TWEDDLE PLACE,10,1,1497.0_0,neighbourhood,1.4200000008,0d 06:00:00,D
211,1508.0_0_B1,B1,85 AVE-104 ST,,7.0,7d 14:45:00,,,53.52136465,-113.49695619999999,STRATHCONA,1,1,1508.0_0,neighbourhood,0.6666666671999999,7d 06:00:00,D
214,1568.0_0_B1,B1,56-58 ST & 10-11A AVE,,,9d 14:45:00,,,53.43892909,-113.426705,SAKAW,10,1,1568.0_0,neighbourhood,1.3699999992,0d 06:00:00,D
215,1583.0_0_B1,B1,72 AVE-85 ST,,,9d 14:45:00,,,53.50808986,-113.4573469,AVONMORE,10,1,1583.0_0,neighbourhood,1.0433333328,0d 06:00:00,D
216,1589.0_0_B1,B1,NORTH OF KITTLITZ PARK: 29 - 30 ST,,,9d 14:45:00,,,53.51881167,-113.4962756,WILD ROSE,10,1,1589.0_0,neighbourhood,0.2800000008,0d 06:00:00,D
218,1600.0_0_B1,B1,SILVER BERRY RD: 34 ST - 32 AVE,,,9d 14:45:00,,,53.44018994,-113.4292992,SILVER BERRY,10,1,1600.0_0,neighbourhood,0.46666666560000003,0d 06:00:00,D
221,1612_0_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,3d 14:45:00,,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,1.3800000000000001,3d 06:00:00,D
222,1612_1_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,3d 14:45:00,,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,1.3800000000000001,3d 06:00:00,D
223,1612_2_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,3d 14:45:00,,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,1.3800000000000001,3d 06:00:00,D
225,1623.0_0_B1,B1,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,,2.0,2d 14:45:00,,,53.45485526,-113.4033495,BISSET,1,1,1623.0_0,roadway,1.0900000008,2d 06:00:00,D
226,1624.0_0_B1,B1,56 ST - 11 AVE,,,9d 14:45:00,,,53.43937612,-113.42443059999998,SAKAW,10,1,1624.0_0,neighbourhood,0.1766666664,0d 06:00:00,D
235,1654.0_0_B1,B1,63 AVE SOUTH SIDE BTWN 91-86 ST.,,,9d 14:45:00,,,53.49982618,-113.46237659999998,CORONET ADDITION INDUSTRIAL,10,1,1654.0_0,neighbourhood,0.8266666655999999,0d 06:00:00,D
236,1658.0_0_B1,B1,108 AVE-67 ST,,0.0,0d 14:45:00,,,53.55564341,-113.42972169999999,CAPILANO,10,1,1658.0_0,neighbourhood,1.2666666672,0d 06:00:00,D
239,1714.0_0_B1,B1,80-81 ST & LAKEWOOD RD. NORTH - 34 AVE,,,9d 14:45:00,,,53.4638973,-113.45441609999999,TIPASKAN,10,1,1714.0_0,neighbourhood,0.9866666664,0d 06:00:00,D
242,1752.0_0_B1,B1,BTWN-34-36 AVE-BTWN-79-81 ST,,,9d 14:45:00,,,53.46680909,-113.4546789,RICHFIELD,10,1,1752.0_0,neighbourhood,2.8466666664,0d 06:00:00,D
243,1759.0_0_B1,B1,NORTH 44 AVE-E 83 ST,,,9d 14:45:00,,,53.48332882,-113.45771979999999,TWEDDLE PLACE,10,1,1759.0_0,neighbourhood,2.0666666663999997,0d 06:00:00,D
246,1771.0_0_B1,B1,NORTH SIDE 34 AVE-91 ST-MILLWOODS RD W,,,9d 14:45:00,,,53.46537684,-113.4587719,RICHFIELD,10,1,1771.0_0,roadway,3.1833333336000003,0d 06:00:00,D
