index,Unnamed: 0,Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,raw-id,day,Level,priority,cluster
25,25,236.0_0_B1,,D,DALY GROVE,36 ST-20 AVE,53.45106651,-113.39811090000002,0.0333333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,236,,B1,10,41
26,26,237.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 12A AVE,53.44011451,-113.40018570000001,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,237,,B1,10,9
27,27,255.0_0_B1,,D,BISSET,35 ST-33 AVE,53.46321738,-113.3948895,0.0233333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,255,,B1,10,12
29,29,265.0_0_B1,,D,MICHAELS PARK,EAST OF 76 ST BTWN 41 AVE & PARK AREA,53.47890847,-113.45054640000002,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,265,,B1,10,2
31,31,267.0_0_B1,,D,MICHAELS PARK,NEXT TO 6762-39 AVE,53.47586961,-113.4445511,0.1033333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,267,,B1,10,32
33,33,276.0_0_B1,,D,KINISKI GARDENS,403 KIRKPATRICK CRESENT,53.47925609,-113.4022577,0.056666666399999996,0d 06:00:00,9d 14:45:00,1,neighbourhood,276,,B1,10,11
34,34,278.0_0_B1,,D,KINISKI GARDENS,43 AVE & 38 ST - KIRKPATRICK CRESENT,53.480126299999995,-113.39999830000001,0.0933333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,278,,B1,10,11
36,36,280.0_0_B1,,D,KENILWORTH,75 ST-84 AVE,53.52033983,-113.44271540000001,0.04999999919999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,280,,B1,10,34
37,37,291.0_0_B1,,D,EKOTA,21 AVE & 73 ST,53.45275672,-113.44562859999998,0.11666666640000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,291,,B1,10,3
41,41,310.0_0_B1,,D,GREENVIEW,153 GRANLEA CRESENT,53.47935367,-113.43115159999998,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,310,,B1,10,1
42,42,381.0_0_B1,,D,EKOTA,68 ST - 22 AVE,53.45182828,-113.4381028,0.11666666640000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,381,,B1,10,3
50,50,403.0_0_B1,,D,MICHAELS PARK,MILLBOURNE ROAD E-41A AVE,53.47911282,-113.4438854,0.1466666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,403,,B1,10,32
51,51,404.0_0_B1,,D,KINISKI GARDENS,44 ST-KULAWY GATE (39 AVE),53.47431735,-113.4071166,0.0966666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,404,,B1,10,11
52,52,405.0_0_B1,,D,KINISKI GARDENS,1244 KAASA ROAD EAST,53.47069387,-113.39794640000001,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,405,,B1,10,11
54,54,407.0_0_B1,,D,MEYONOHK,83 ST-BACK LANE-BTWN-26-27 AVE,53.45671841,-113.45957369999999,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,407,,B1,10,24
56,56,410.0_0_B1,,D,LARKSPUR,30 ST - W/SIDE 42 AVE TO 40 AVE,53.47811545,-113.38758179999999,0.0333333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,410,,B1,10,15
57,57,440.0_0_B1,,D,OTTEWELL,57 ST-96 AVE,53.53588945,-113.42300230000001,0.13000000080000002,0d 06:00:00,9d 14:45:00,1,neighbourhood,440,,B1,10,4
60,60,470.0_0_B1,,D,BISSET,43 ST-25 AVE,53.45581327,-113.40838600000001,0.053333332799999994,0d 06:00:00,9d 14:45:00,1,neighbourhood,470,,B1,10,21
62,62,484.0_0_B1,,D,MEYONOHK,W. OF 78 ST & S. OF LAKEWOOD RD. SOUTH,53.45472483,-113.45056770000001,0.026666666399999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,484,,B1,10,7
70,73,535.0_0_B1,,D,STRATHEARN,91 ST-STRATHEARN DRIVE,53.53453969,-113.46702040000001,0.16333333440000003,0d 06:00:00,9d 14:45:00,1,neighbourhood,535,,B1,10,5
72,75,547.0_0_B1,,D,EKOTA,73 ST - 21 AVE,53.45093514,-113.4441409,0.1433333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,547,,B1,10,6
73,76,548.0_0_B1,,D,EKOTA,70 ST - 21 AVE,53.45122102,-113.4407574,0.0766666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,548,,B1,10,6
74,77,553.0_0_B1,,D,LARKSPUR,33 ST - 41A AVE,53.47821022,-113.39159950000001,0.0466666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,553,,B1,10,15
75,78,558.0_0_B1,,D,TIPASKAN,3148 - 79 ST,53.46270509,-113.453122,0.056666666399999996,0d 06:00:00,9d 14:45:00,1,neighbourhood,558,,B1,10,24
76,79,560.0_0_B1,,D,KINISKI GARDENS,264 KIRKWOOD AVE,53.48370558,-113.39943319999999,0.0466666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,560,,B1,10,11
77,80,561.0_0_B1,,D,KENILWORTH,7242 - 83 AVE/8313 - 75 ST,53.51932181,-113.4397248,0.1033333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,561,,B1,10,34
86,89,609.0_0_B1,,D,ELLERSLIE,Ellerslie Road & Edwards Drive,53.42520833,-113.45531270000001,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,609,,B1,10,23
90,93,624.0_0_B1,,D,EKOTA,SOUTH 19 AVE-BTWN-68 ST-KW RD EAST,53.44871371,-113.4392548,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,624,,B1,10,6
91,94,626.0_0_B1,,D,EKOTA,CONNECTING KW RD N-18 AVE-BTWN-73-75 S,53.4489733,-113.44601100000001,0.1333333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,626,,B1,10,7
92,95,640.0_0_B1,,D,LARKSPUR,44B AVE-28-29 ST,53.48335537,-113.38495879999999,0.10666666559999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,640,,B1,10,15
95,98,662.0_0_B1,,D,WILD ROSE,BESIDE 364 WILD ROSE WAY,53.47572009,-113.3709659,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,662,,B1,10,13
99,102,696.0_0_B1,,D,MEYONOHK,24 AVE-W 85 ST,53.45257951,-113.4610376,0.0199999992,0d 06:00:00,9d 14:45:00,1,neighbourhood,696,,B1,10,7
101,104,773.0_0_B1,,D,GREENVIEW,38A AVE-W 51 ST,53.47087639,-113.4185957,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,773,,B1,10,8
103,106,781.0_0_B1,,D,HILLVIEW,53 ST - 35 AVE,53.46754635,-113.42239620000001,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,781,,B1,10,27
107,110,793.0_0_B1,,D,CRAWFORD PLAINS,39 ST-N 12 AVE,53.44114538,-113.4013158,0.026666666399999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,793,,B1,10,9
108,111,809.0_0_B1,,D,HOLYROOD,82-83 ST-BTWN-91-92 AVE,53.52644386,-113.45410919999999,0.0766666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,809,,B1,10,35
111,114,859.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,39 AVE & 92-91 ST,53.47412343,-113.46827009999998,0.10666666559999999,0d 06:00:00,9d 14:45:00,1,roadway,859,,B1,10,10
112,115,862.0_0_B1,,D,TWEDDLE PLACE,WEST SIDE MILLBOURNE RD BTWN ALLEY & 3,53.47579203,-113.4586733,0.0866666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,862,,B1,10,10
113,116,863.0_0_B1,,D,TWEDDLE PLACE,77 ST-BTWN-41-40 AVE,53.47758279,-113.45299920000001,0.13000000080000002,0d 06:00:00,9d 14:45:00,1,neighbourhood,863,,B1,10,2
116,119,906.0_0_B1,,D,KINISKI GARDENS,NORTH SIDE 38 AVE-BTWN 38-41 ST,53.47279653,-113.3993744,0.07000000079999999,0d 06:00:00,9d 14:45:00,1,roadway,906,,B1,10,11
117,120,910.0_0_B1,,D,MEYONOHK,WEST SIDE 85 ST BTWN 23 AVE & 24 AVE,53.45234693,-113.4600996,0.08333333279999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,910,,B1,10,7
121,124,954.0_0_B1,,D,MENISA,70 ST - 12 AVE,53.44215484,-113.4430531,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,954,,B1,10,7
122,125,969.0_0_B1,,D,GREENVIEW,140 GRANLEA CRESENT,53.48040848,-113.43020790000001,0.04999999919999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,969,,B1,10,1
128,131,985.0_0_B1,,D,HAZELDEAN,EAST OF 93 ST-64-66 AVE,53.501875600000005,-113.4687706,0.0966666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,985,,B1,10,20
129,132,988.0_0_B1,,D,ELLERSLIE,8503 - 2 Ave SW,53.43205583,-113.4640388,0.06,0d 06:00:00,9d 14:45:00,1,neighbourhood,988,,B1,10,29
130,133,989.0_0_B1,,D,SUMMERSIDE,429 SPARLING CRESC - 554 STEWART CRESC,53.42308569,-113.46893429999999,0.11666666640000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,989,,B1,10,25
131,134,993.0_0_B1,,D,KINISKI GARDENS,519 KULAWY POINT (WEST OF KULAWY DR N,53.47394159,-113.41079270000002,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,993,,B1,10,11
132,135,995.0_0_B1,,D,IDYLWYLDE,81 ST-89 AVE,53.52440917,-113.4519433,0.053333332799999994,0d 06:00:00,9d 14:45:00,1,neighbourhood,995,,B1,10,35
139,142,1058.0_0_B1,,D,MENISA,77 ST - 11 AVE,53.44094322,-113.45266840000001,0.053333332799999994,0d 06:00:00,9d 14:45:00,1,neighbourhood,1058,,B1,10,7
140,143,1068.0_0_B1,,D,JACKSON HEIGHTS,47 ST-BTWN 42-43 AVE,53.47893527,-113.4134385,0.12333333360000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,1068,,B1,10,11
141,144,1070.0_0_B1,,D,JACKSON HEIGHTS,JENNER COVE-JENNINGS BAY,53.48682407,-113.4020903,0.0966666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1070,,B1,10,11
144,147,1092.0_0_B1,,D,MICHAELS PARK,40 AVE-67 ST,53.47592234,-113.4407956,0.0933333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1092,,B1,10,32
146,149,1104.0_0_B1,,D,MINCHAU,34A AVE-37 ST,53.46446839,-113.400625,0.04999999919999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,1104,,B1,10,12
147,150,1110.0_0_B1,,D,SATOO,CONNECTS-KNOTTWOOD RD N-BACK LANE W,53.45038315,-113.45360690000001,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1110,,B1,10,7
150,153,1123.0_0_B1,,D,ELLERSLIE,202 Edwards Drive,53.42945449,-113.4605923,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1123,,B1,10,29
151,154,1124.0_0_B1,,D,ELLERSLIE,Btwn 204-83 ST SW & 8232-2 AVE SW,53.43205228,-113.46093090000001,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1124,,B1,10,29
152,155,1125.0_0_B1,,D,ELLERSLIE,btw 7904 2Ave & #205 79 St.,53.43206463,-113.45542520000001,0.056666666399999996,0d 06:00:00,9d 14:45:00,1,neighbourhood,1125,,B1,10,29
153,156,1132.0_0_B1,,D,BISSET,42 ST-32 AVE,53.46159102,-113.4018121,0.0166666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,1132,,B1,10,19
154,157,1133.0_0_B1,,D,MINCHAU,45 ST & 37B - 38 AVE,53.46938536,-113.4107342,0.0199999992,0d 06:00:00,9d 14:45:00,1,neighbourhood,1133,,B1,10,30
156,159,1136.0_0_B1,,D,WILD ROSE,BETWEEN 3655 & 3659 - 28 ST,53.47089793,-113.38208770000001,0.06,0d 06:00:00,9d 14:45:00,1,neighbourhood,1136,,B1,10,13
157,160,1137.0_0_B1,,D,WILD ROSE,141 WARD CRES - PIPELINE - 2344-37B AVE,53.47367477,-113.3802369,0.13999999919999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,1137,,B1,10,13
160,163,1141.0_0_B1,,D,TIPASKAN,89 ST - 32 AVE,53.4635544,-113.46299760000001,0.1000000008,0d 06:00:00,9d 14:45:00,1,neighbourhood,1141,,B1,10,24
161,164,1161.0_0_B1,,D,SUMMERSIDE,88 ST SW: SOUTH OF SUMMERSIDE DRIVE,53.42087888,-113.467405,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1161,,B1,10,25
168,171,1180.0_0_B1,,D,TIPASKAN,79 ST - 30 AVE,53.46108167,-113.45535220000001,0.11666666640000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,1180,,B1,10,24
169,172,1181.0_0_B1,,D,TIPASKAN,79 ST-S LAKEWOOD RD,53.46101619,-113.4516362,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1181,,B1,10,24
174,177,1219.0_0_B1,,D,KINISKI GARDENS,44 AVE-37 ST,53.48227402,-113.40002630000001,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1219,,B1,10,15
176,179,1232.0_0_B1,,D,JACKSON HEIGHTS,BTWN 767 JOHNS RD-KG PIPELINE,53.48114421,-113.4058149,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1232,,B1,10,11
178,181,1272.0_0_B1,,D,POLLARD MEADOWS,45 St - 22 Ave,53.45466114,-113.4096457,0.026666666399999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,1272,,B1,10,14
179,182,1292.0_0_B1,,D,ELLERSLIE,Between 504 - 90 St SW & 8924 - 5 Ave SW,53.42915368,-113.47131920000001,0.056666666399999996,0d 06:00:00,9d 14:45:00,1,neighbourhood,1292,,B1,10,29
184,187,1319.0_0_B1,,D,WILD ROSE,BTWN 3640 - 30 ST & 3647 - 31 ST,53.47005269,-113.38710470000001,0.13999999919999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,1319,,B1,10,33
185,188,1320.0_0_B1,,D,WILD ROSE,BTWN 3656 - 31 ST & 3651 - 31A ST,53.47027557,-113.3884965,0.13999999919999997,0d 06:00:00,9d 14:45:00,1,neighbourhood,1320,,B1,10,33
186,189,1342.0_0_B1,,D,CORONET ADDITION INDUSTRIAL,CORONET ROAD-86 ST,53.49972867,-113.45711899999999,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,1342,,B1,10,20
187,190,1346.0_0_B1,,D,SILVER BERRY,BETWEEN 2406-33A ST & 3383-24 AVE,53.45432682,-113.39309569999999,0.056666666399999996,0d 06:00:00,9d 14:45:00,1,neighbourhood,1346,,B1,10,40
189,192,1362.0_0_B1,,D,LARKSPUR,31 ST-BTWN 38-39 AVE,53.47374505,-113.3884135,0.13000000080000002,0d 06:00:00,9d 14:45:00,1,neighbourhood,1362,,B1,10,33
190,193,1363.0_0_B1,,D,LARKSPUR,40 AVE-BTWN 31-30 ST,53.47552621,-113.38721229999999,0.1266666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1363,,B1,10,15
191,194,1422.0_0_B1,,D,MEYOKUMIN,BTWN-62-65 ST-17A-18 AVE,53.4479728,-113.43255359999999,0.1466666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,1422,,B1,10,6
192,195,1423.0_0_B1,,D,MEYOKUMIN,CONNECTS 51-54 ST-BTWN-17A-18A AVE,53.44817357,-113.42331409999998,0.1333333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1423,,B1,10,17
193,196,1424.0_0_B1,,D,MEYOKUMIN,56 ST-N 20A AVE,53.45208637,-113.42588700000002,0.0366666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1424,,B1,10,6
195,198,1436.0_0_B1,,D,SATOO,CONNECTS 14A AVE-KNOTTWOOD RD S-82 ST,53.44298538,-113.4577692,0.1433333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,1436,,B1,10,7
196,199,1438.0_0_B1,,D,POLLARD MEADOWS,48A ST-BTWN-17A-18 AVE,53.44805732,-113.41525530000001,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,1438,,B1,10,21
199,202,1449.0_0_B1,,D,MINCHAU,38A AVE-48 ST,53.47033728,-113.4148232,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1449,,B1,10,8
206,209,1461.0_0_B1,,D,WILD ROSE,E/S 23 St South of 37A Ave,53.47250303,-113.3764284,0.0933333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1461,,B1,10,13
207,210,1477.0_0_B1,,D,OTTEWELL,52 ST-90A AVE,53.52333467,-113.4198854,0.0466666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,1477,,B1,10,26
208,211,1479.0_0_B1,,D,SAKAW,52 ST-11 AVE,53.43971695,-113.41984690000001,0.03,0d 06:00:00,9d 14:45:00,1,neighbourhood,1479,,B1,10,17
209,212,1488.0_0_B1,,D,MINCHAU,45 ST - 35A AVE,53.46576161,-113.40817120000001,0.0199999992,0d 06:00:00,9d 14:45:00,1,neighbourhood,1488,,B1,10,16
212,215,1511.0_0_B1,,D,SILVER BERRY,BTWN 3203 & 3204 28 AVE,53.45781988,-113.3866463,0.0233333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,1511,,B1,10,43
213,216,1548.0_0_B1,,D,SAKAW,58 ST - 11 AVE,53.43920366,-113.42760249999999,0.03,0d 06:00:00,9d 14:45:00,1,neighbourhood,1548,,B1,10,17
217,220,1599.0_0_B1,,D,SAKAW,E/S 58 ST: BACKLANE-11A AVE & SS 11A AVE &,53.47084369,-113.3852557,0.1466666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,1599,,B1,10,13
219,222,1608.0_0_B1,,D,SOUTH EDMONTON COMMON,SOUTH OF 19 AVE EAST OF 102 ST,53.44420822,-113.48744270000002,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,1608,,B1,10,18
220,223,1611.0_0_B1,,D,KINISKI GARDENS,4003 - 38A AVE,53.47400654,-113.4005423,0.0633333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1611,,B1,10,11
224,227,1622.0_0_B1,,D,MCINTYRE INDUSTRIAL,86 ST-BTWN 51 AVE-N OF 53 AVE,53.48954662,-113.45473799999999,0.1366666656,0d 06:00:00,9d 14:45:00,1,roadway,1622,,B1,10,2
227,230,1625.0_0_B1,,D,SAKAW,10 AVE-W OF 63 ST,53.43865600000001,-113.4351926,0.0933333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1625,,B1,10,17
228,231,1626.0_0_B1,,D,SAKAW,11 AVE-63 ST,53.44041168,-113.43341640000001,0.04999999919999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,1626,,B1,10,17
229,232,1628.0_0_B1,,D,SATOO,19 AVE-KNOTTWOOD RD W,53.44864911,-113.46106909999999,0.09,0d 06:00:00,9d 14:45:00,1,neighbourhood,1628,,B1,10,7
230,233,1642.0_0_B1,,D,TIPASKAN,86 ST - 32 AVE,53.46375409,-113.46140220000001,0.09,0d 06:00:00,9d 14:45:00,1,neighbourhood,1642,,B1,10,24
231,234,1643.0_0_B1,,D,TIPASKAN,85 ST - 33 AVE,53.46444895,-113.4589404,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1643,,B1,10,24
232,235,1645.0_0_B1,,D,MEYONOHK,78 ST - 24 AVE,53.45376048,-113.44879080000001,0.1033333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1645,,B1,10,7
233,236,1646.0_0_B1,,D,EKOTA,WEST 69 ST-CONNECTING-21-23 AVE,53.45326491,-113.43992420000001,0.0866666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,1646,,B1,10,3
234,237,1652.0_0_B1,,D,GIRARD INDUSTRIAL,GIRARD ROAD S OF ARGYLL ROAD,53.50784204,-113.4410902,0.1466666664,0d 06:00:00,9d 14:45:00,1,neighbourhood,1652,,B1,10,20
237,240,1712.0_0_B1,,D,KINISKI GARDENS,BESIDE 4132 - 39 AVE,53.47422393,-113.40278130000002,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1712,,B1,10,11
238,241,1713.0_0_B1,,D,KINISKI GARDENS,BESIDE 3963 - 42 ST,53.47559528,-113.4035751,0.0733333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1713,,B1,10,11
240,243,1722.0_0_B1,,D,ELLERSLIE,BETWEEN 720 & 724 - 87 ST SW,53.4255842,-113.46646000000001,0.0333333336,0d 06:00:00,9d 14:45:00,1,neighbourhood,1722,,B1,10,23
241,244,1749.0_0_B1,,D,KINISKI GARDENS,BESIDE 159 KULAWY DRIVE NORTH,53.47530693,-113.4072125,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1749,,B1,10,11
244,247,1760.0_0_B1,,D,SILVER BERRY,23 St & 29 Ave,53.45924056,-113.37441270000001,0.0466666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,1760,,B1,10,43
245,248,1767.0_0_B1,,D,MCINTYRE INDUSTRIAL,4503 - 86 STREET (C/O),53.48551602,-113.45204199999999,0.1333333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1767,,B1,10,32
250,253,1784.0_0_B1,,D,GREENVIEW,238 GREENOCH CRESENT (P.P.),53.47985752,-113.42340379999999,0.0966666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1784,,B1,10,0
254,257,1810.0_0_B1,,D,JACKSON HEIGHTS,49 ST- 44 AVE,53.48176008,-113.41583829999999,0.1433333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,1810,,B1,10,11
258,261,1827.0_0_B1,,D,MINCHAU,34A AVE-35 ST,53.463860200000006,-113.39485079999999,0.0233333328,0d 06:00:00,9d 14:45:00,1,neighbourhood,1827,,B1,10,12
259,262,1828.0_0_B1,,D,MINCHAU,42 ST - 34A AVE,53.46463922,-113.40632240000002,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,1828,,B1,10,16
263,266,1847.0_0_B1,,D,KINISKI GARDENS,BETWEEN 3503 & 3508 - 38A AVE,53.47363882,-113.394273,0.08333333279999999,0d 06:00:00,9d 14:45:00,1,neighbourhood,1847,,B1,10,33
268,271,1853.0_0_B1,,D,RITCHIE,75 AVE AND 97 ST,53.51107684,-113.4796675,0.16000000080000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,1853,,B1,10,67
284,290,1895.0_0_B1,,D,WEINLOS,BTWN SCHOOL-30 AVE-46 ST,53.46100863,-113.4119567,0.0366666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1895,,B1,10,19
287,293,1908.0_0_B1,,D,LARKSPUR,BESIDE 2808 - 40B AVE,53.47680556,-113.3820092,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,1908,,B1,10,15
289,295,1915.0_0_B1,,D,EKOTA,CONNECTING MILLWOODS RD W-ST CLEMENT,53.44790167,-113.45031709999999,0.13000000080000002,0d 06:00:00,9d 14:45:00,1,neighbourhood,1915,,B1,10,7
290,296,1922.0_0_B1,,D,DALY GROVE,42 ST-18 AVE,53.44940491,-113.40656129999999,0.0766666656,0d 06:00:00,9d 14:45:00,1,neighbourhood,1922,,B1,10,21
295,301,1970.0_0_B1,,D,FULTON PLACE,BTWN 50A-52 ST-105-105A AVE,53.54941313,-113.419752,0.12333333360000001,0d 06:00:00,9d 14:45:00,1,neighbourhood,1970,,B1,10,4
297,303,1989.0_0_B1,,D,SILVER BERRY,23 St & 27 Ave,53.45667036,-113.37442479999999,0.0366666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,1989,,B1,10,43
305,311,2017.0_0_B1,,D,WILD ROSE,25 ST & 35 AVE,53.468691099999994,-113.38047379999999,0.0966666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,2017,,B1,10,13
306,312,2039.0_0_B1,,D,AVONMORE,85 ST-74 AVE,53.51035033,-113.45716000000002,0.13000000080000002,0d 06:00:00,9d 14:45:00,1,neighbourhood,2039,,B1,10,20
308,314,2047.0_0_B1,,D,EKOTA,EAST 72 ST-CONNECTING-21-23 AVE,53.453222499999995,-113.44209199999999,0.0366666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,2047,,B1,10,7
309,315,2048.0_0_B1,,D,SATOO,CONNECTS-22-23 AVE-W OF 79 ST,53.45217177,-113.4535202,0.0666666672,0d 06:00:00,9d 14:45:00,1,neighbourhood,2048,,B1,10,7
312,318,2063.0_0_B1,,D,LARKSPUR,BESIDE 4134 - 29 ST,53.47858123,-113.3847973,0.0433333344,0d 06:00:00,9d 14:45:00,1,neighbourhood,2063,,B1,10,15
315,321,2068.0_0_B1,,D,ELLERSLIE,848 and 843 - 77 St,53.42624455,-113.4524301,0.040000000800000005,0d 06:00:00,9d 14:45:00,1,neighbourhood,2068,,B1,10,23
